formation,parameter,unit,min,q25,q50,mean,max,source
SS_NK,density_kg_m3,kg/m3,2560.0,2562.5,2565.0,2565.0,2570.0,param_sources.csv; uploaded_mechanical_test_values
SS_NK,E_GPa,GPa,0.5040378000000001,0.5040378000000001,0.5040378000000001,0.5040378000000001,0.5040378000000001,param_sources.csv; uploaded_mechanical_test_values
SS_NK,nu,-,0.29,0.29,0.29,0.29,0.29,param_sources.csv; uploaded_mechanical_test_values
SS_NK,c_MPa,MPa,0.063765,0.1113435,0.158922,0.158922,0.254079,param_sources.csv; uploaded_mechanical_test_values
SS_NK,phi_deg,deg,22.5,26.175,29.85,29.85,37.2,param_sources.csv; uploaded_mechanical_test_values
Interbedded_ST,density_kg_m3,kg/m3,2520.0,2520.0,2520.0,2520.0,2520.0,param_sources.csv; uploaded_mechanical_test_values
Interbedded_ST,E_GPa,GPa,0.015,0.07,0.125,0.125,0.23500000000000001,fallback_previous_stats_no_uploaded_value
Interbedded_ST,nu,-,0.25,0.2825,0.315,0.315,0.38,fallback_previous_stats_no_uploaded_value
Interbedded_ST,c_MPa,MPa,0.144207,0.144207,0.144207,0.144207,0.144207,param_sources.csv; uploaded_mechanical_test_values
Interbedded_ST,phi_deg,deg,22.3,22.3,22.3,22.3,22.3,param_sources.csv; uploaded_mechanical_test_values
SH_ST,density_kg_m3,kg/m3,2390.0,2502.5,2580.0,2538.3333333333335,2610.0,param_sources.csv; uploaded_mechanical_test_values
SH_ST,E_GPa,GPa,0.4613643,1.04039955,1.6194348000000003,1.6818264,2.9646801,param_sources.csv; uploaded_mechanical_test_values
SH_ST,nu,-,0.38,0.38,0.38,0.3866666666666667,0.4,param_sources.csv; uploaded_mechanical_test_values
SH_ST,c_MPa,MPa,0.011085,0.0889275,0.16677,0.161636,0.307053,param_sources.csv; uploaded_mechanical_test_values
SH_ST,phi_deg,deg,15.1,25.35,35.6,34.61666666666667,53.15,param_sources.csv; uploaded_mechanical_test_values
SS_NC,density_kg_m3,kg/m3,2420.0,2452.5,2485.0,2485.0,2550.0,param_sources.csv; uploaded_mechanical_test_values
SS_NC,E_GPa,GPa,2.0999286,2.6557386750000003,3.2115487500000004,3.2115487500000004,4.323168900000001,param_sources.csv; uploaded_mechanical_test_values
SS_NC,nu,-,0.15,0.16499999999999998,0.18,0.18,0.21,param_sources.csv; uploaded_mechanical_test_values
SS_NC,c_MPa,MPa,0.071613,0.1427355,0.213858,0.221052,0.377685,param_sources.csv; uploaded_mechanical_test_values
SS_NC,phi_deg,deg,17.7,24.299999999999997,30.9,32.60333333333333,49.21,param_sources.csv; uploaded_mechanical_test_values
Fault,density_kg_m3,kg/m3,2490.0,2490.0,2490.0,2490.0,2490.0,param_sources.csv; uploaded_mechanical_test_values
Fault,E_GPa,GPa,0.005,0.01125,0.0175,0.0175,0.03,fallback_previous_stats_no_uploaded_value
Fault,nu,-,0.3,0.325,0.35,0.35,0.4,fallback_previous_stats_no_uploaded_value
Fault,c_MPa,MPa,0.022269,0.024549750000000002,0.0268305,0.0268305,0.031392,param_sources.csv; uploaded_mechanical_test_values
Fault,phi_deg,deg,15.8,16.425,17.05,17.05,18.3,param_sources.csv; uploaded_mechanical_test_values
