formation,parameter,unit,min,q25,q50,mean,max,source
SS_NK,density_kg_m3,kg/m3,2390.0,2390.0,2390.0,2390.0,2390.0,力學試驗資料彙整.xlsx
SS_NK,E_GPa,GPa,0.4613643,0.4613643,0.4613643,0.4613643,0.4613643,力學試驗資料彙整.xlsx
SS_NK,nu,-,0.38,0.38,0.38,0.38,0.38,力學試驗資料彙整.xlsx
SS_NK,c_MPa,MPa,0.063765,0.1113435,0.158922,0.14940630000000002,0.254079,fallback_previous_stats_missing_excel_value
SS_NK,phi_deg,deg,22.5,26.175,29.85,29.115,37.2,fallback_previous_stats_missing_excel_value
SS_NK,sigma_ci_MPa,MPa,0.195219,0.2231775,0.251136,0.251136,0.307053,力學試驗資料彙整.xlsx
SS_NK,mi,-,12.0,14.5,17.0,17.0,22.0,initial_engineering_assumption_user_review_required
SS_NK,GSI,-,35.0,40.0,45.0,45.0,55.0,initial_engineering_assumption_user_review_required
SS_NK,D_hb,-,0.5,0.5,0.5,0.5,0.5,user_fixed_D_0.5
Interbedded_ST,density_kg_m3,kg/m3,2520.0,2520.0,2520.0,2520.0,2520.0,力學試驗資料彙整.xlsx
Interbedded_ST,E_GPa,GPa,1.6194348,1.73955825,1.8596817,1.8596817,2.0999286,力學試驗資料彙整.xlsx
Interbedded_ST,nu,-,0.21,0.2575,0.305,0.305,0.4,力學試驗資料彙整.xlsx
Interbedded_ST,c_MPa,MPa,0.031392,0.05959575,0.0877995,0.0877995,0.144207,力學試驗資料彙整.xlsx
Interbedded_ST,phi_deg,deg,18.3,19.3,20.3,20.3,22.3,力學試驗資料彙整.xlsx
Interbedded_ST,sigma_ci_MPa,MPa,1.61865,1.61865,1.61865,1.61865,1.61865,力學試驗資料彙整.xlsx
Interbedded_ST,mi,-,7.0,8.0,9.0,9.333333333333334,12.0,initial_engineering_assumption_user_review_required
Interbedded_ST,GSI,-,30.0,34.0,38.0,37.666666666666664,45.0,initial_engineering_assumption_user_review_required
Interbedded_ST,D_hb,-,0.5,0.5,0.5,0.5,0.5,user_fixed_D_0.5
SH_ST,density_kg_m3,kg/m3,2420.0,2500.0,2565.0,2535.0,2590.0,力學試驗資料彙整.xlsx
SH_ST,E_GPa,GPa,2.9646801,2.9646801,2.9646801,2.9646801,2.9646801,力學試驗資料彙整.xlsx
SH_ST,nu,-,0.38,0.38,0.38,0.38,0.38,力學試驗資料彙整.xlsx
SH_ST,c_MPa,MPa,0.0110853,0.06920955000000001,0.14582565,0.1274319,0.206991,力學試驗資料彙整.xlsx
SH_ST,phi_deg,deg,15.1,22.0,27.435000000000002,28.92,45.71,力學試驗資料彙整.xlsx
SH_ST,sigma_ci_MPa,MPa,0.067689,0.111834,0.135378,3.9375378,18.9333,力學試驗資料彙整.xlsx
SH_ST,mi,-,4.0,5.0,6.0,6.0,8.0,initial_engineering_assumption_user_review_required
SH_ST,GSI,-,25.0,29.0,33.0,32.666666666666664,40.0,initial_engineering_assumption_user_review_required
SH_ST,D_hb,-,0.5,0.5,0.5,0.5,0.5,user_fixed_D_0.5
SS_NC,density_kg_m3,kg/m3,2490.0,2550.0,2560.0,2556.0,2610.0,力學試驗資料彙整.xlsx
SS_NC,E_GPa,GPa,0.5040378000000001,1.8599269500000002,3.2158161,2.6810076000000005,4.323168900000001,力學試驗資料彙整.xlsx
SS_NC,nu,-,0.15,0.19,0.23,0.2233333333333333,0.29,力學試驗資料彙整.xlsx
SS_NC,c_MPa,MPa,0.0222687,0.067689,0.16677,0.17765910000000001,0.45126,力學試驗資料彙整.xlsx
SS_NC,phi_deg,deg,15.8,20.1,30.9,29.598571428571432,47.49,力學試驗資料彙整.xlsx
SS_NC,sigma_ci_MPa,MPa,1.19682,13.8321,21.9744,29.296584000000003,56.0151,力學試驗資料彙整.xlsx
SS_NC,mi,-,12.0,14.5,17.0,17.0,22.0,initial_engineering_assumption_user_review_required
SS_NC,GSI,-,40.0,44.0,48.0,47.666666666666664,55.0,initial_engineering_assumption_user_review_required
SS_NC,D_hb,-,0.5,0.5,0.5,0.5,0.5,user_fixed_D_0.5
Fault,density_kg_m3,kg/m3,2490.0,2490.0,2490.0,2490.0,2490.0,fault_core_engineering_fallback_user_review_required
Fault,E_GPa,GPa,0.2,0.25,0.3,0.3666666666666667,0.6,fault_core_engineering_fallback_user_review_required
Fault,nu,-,0.3,0.3125,0.32499999999999996,0.32499999999999996,0.35,fault_core_engineering_fallback_user_review_required
Fault,c_MPa,MPa,0.02,0.0235,0.027,0.025666666666666667,0.03,fault_core_engineering_fallback_user_review_required
Fault,phi_deg,deg,16.0,16.5,17.0,17.666666666666668,20.0,fault_core_engineering_fallback_user_review_required
Fault,sigma_ci_MPa,MPa,5.0,7.5,10.0,10.0,15.0,fault_core_engineering_fallback_user_review_required
Fault,mi,-,3.0,3.5,4.0,4.333333333333333,6.0,initial_engineering_assumption_user_review_required
Fault,GSI,-,15.0,18.5,22.0,22.333333333333332,30.0,initial_engineering_assumption_user_review_required
Fault,D_hb,-,0.5,0.5,0.5,0.5,0.5,user_fixed_D_0.5
