formation,parameter,unit,min,q25,q50,mean,max,source
SS_NK,density_kg_m3,kg/m3,2565.0,2565.0,2565.0,2565.0,2565.0,01_2d_plane_screening.ipynb material_ranges
SS_NK,E_MPa,MPa,90.0,226.25,362.5,362.5,635.0,01_2d_plane_screening.ipynb material_ranges
SS_NK,nu,-,0.2,0.225,0.25,0.25,0.3,01_2d_plane_screening.ipynb material_ranges
SS_NK,c_MPa,MPa,0.17,0.2675,0.365,0.36500000000000005,0.56,01_2d_plane_screening.ipynb material_ranges
SS_NK,phi_deg,deg,25.5,31.35,37.2,37.2,48.9,01_2d_plane_screening.ipynb material_ranges
Interbedded_ST,density_kg_m3,kg/m3,2520.0,2520.0,2520.0,2520.0,2520.0,01_2d_plane_screening.ipynb material_ranges
Interbedded_ST,E_MPa,MPa,15.0,70.0,125.0,125.0,235.0,01_2d_plane_screening.ipynb material_ranges
Interbedded_ST,nu,-,0.25,0.2825,0.315,0.315,0.38,01_2d_plane_screening.ipynb material_ranges
Interbedded_ST,c_MPa,MPa,0.06,0.12,0.18,0.18,0.3,01_2d_plane_screening.ipynb material_ranges
Interbedded_ST,phi_deg,deg,11.7,17.974999999999998,24.25,24.25,36.8,01_2d_plane_screening.ipynb material_ranges
SH_ST,density_kg_m3,kg/m3,2538.0,2538.0,2538.0,2538.0,2538.0,01_2d_plane_screening.ipynb material_ranges
SH_ST,E_MPa,MPa,12.0,38.0,64.0,64.0,116.0,01_2d_plane_screening.ipynb material_ranges
SH_ST,nu,-,0.28,0.31000000000000005,0.34,0.34,0.4,01_2d_plane_screening.ipynb material_ranges
SH_ST,c_MPa,MPa,0.01,0.0525,0.09499999999999999,0.095,0.18,01_2d_plane_screening.ipynb material_ranges
SH_ST,phi_deg,deg,7.6,12.375,17.15,17.15,26.7,01_2d_plane_screening.ipynb material_ranges
SS_NC,density_kg_m3,kg/m3,2485.0,2485.0,2485.0,2485.0,2485.0,01_2d_plane_screening.ipynb material_ranges
SS_NC,E_MPa,MPa,122.0,317.25,512.5,512.5,903.0,01_2d_plane_screening.ipynb material_ranges
SS_NC,nu,-,0.18,0.20500000000000002,0.23,0.23,0.28,01_2d_plane_screening.ipynb material_ranges
SS_NC,c_MPa,MPa,0.21,0.3225,0.43500000000000005,0.435,0.66,01_2d_plane_screening.ipynb material_ranges
SS_NC,phi_deg,deg,29.7,35.0,40.3,40.3,50.9,01_2d_plane_screening.ipynb material_ranges
Fault,density_kg_m3,kg/m3,2490.0,2490.0,2490.0,2490.0,2490.0,01_2d_plane_screening.ipynb material_ranges
Fault,E_MPa,MPa,5.0,11.25,17.5,17.5,30.0,01_2d_plane_screening.ipynb material_ranges
Fault,nu,-,0.3,0.325,0.35,0.35,0.4,01_2d_plane_screening.ipynb material_ranges
Fault,c_MPa,MPa,0.003,0.01975,0.036500000000000005,0.036500000000000005,0.07,01_2d_plane_screening.ipynb material_ranges
Fault,phi_deg,deg,5.0,7.025,9.05,9.05,13.1,01_2d_plane_screening.ipynb material_ranges
