"monitor_id","mileage","monitor_x","simulation_x","x_diff_m","arrival_step","arrival_source","reference_step","step_length_m","crown_col","wall_l_col","wall_r_col","plastic_thickness_m","analytic_crown_settlement_mm","analytic_sidewall_convergence_mm","output_png"
"T-19","1253.7","3019.93770127661","3000.0","-19.937701276609914","1.0","first_available_step","3.0","1.5","crown_3000","wall_L_3000","wall_R_3000","1.6500000000000004","144.01585106344962","288.03170212689923","D:\FLAC_AI\2D\monitor\T-19\T-19_section_displacement.png"
"T-19A","1270.7","3003.37404275422","3000.0","-3.374042754220227","1.0","first_available_step","3.0","1.5","crown_3000","wall_L_3000","wall_R_3000","1.6500000000000004","141.48871873826369","282.97743747652737","D:\FLAC_AI\2D\monitor\T-19A\T-19A_section_displacement.png"
"T-20","1297.8","2977.06705568892","3000.0","22.932944311080064","1.0","STEP_-","3.0","1.5","crown_3000","wall_L_3000","wall_R_3000","1.6500000000000004","142.73172245354255","285.4634449070851","D:\FLAC_AI\2D\monitor\T-20\T-20_section_displacement.png"
"T-21","1326.0","2948.0","2950.0","2.0","6.0","STEP_-","8.0","1.5","crown_2950","wall_L_2950","wall_R_2950","1.6500000000000004","143.79191567375176","287.5838313475035","D:\FLAC_AI\2D\monitor\T-21\T-21_section_displacement.png"
"T-22","1350.0","2925.0","2900.0","-25.0","8.0","STEP_-","10.0","1.5","crown_2900","wall_L_2900","wall_R_2900","1.6500000000000004","147.85538652095968","295.71077304191937","D:\FLAC_AI\2D\monitor\T-22\T-22_section_displacement.png"
"T-23","1380.0","2896.0","2900.0","4.0","12.0","STEP_-","14.0","1.5","crown_2900","wall_L_2900","wall_R_2900","1.6500000000000004","153.94171190226632","307.88342380453264","D:\FLAC_AI\2D\monitor\T-23\T-23_section_displacement.png"
"T-24","1398.2","2878.0","2870.0","-8.0","18.0","STEP_-","20.0","1.5","crown_2870","wall_L_2870","wall_R_2870","1.6500000000000004","160.69521487127162","321.39042974254323","D:\FLAC_AI\2D\monitor\T-24\T-24_section_displacement.png"
"T-25","1428.2","2849.0","2840.0","-9.0","28.0","STEP_-","30.0","1.5","crown_2840","wall_L_2840","wall_R_2840","1.8960000000000563","228.54017913467237","457.08035826934474","D:\FLAC_AI\2D\monitor\T-25\T-25_section_displacement.png"
"T-26","1451.0","2827.0","2840.0","13.0","35.0","STEP_-","37.0","1.5","crown_2840","wall_L_2840","wall_R_2840","2.88","512.6030819109889","1025.2061638219777","D:\FLAC_AI\2D\monitor\T-26\T-26_section_displacement.png"
"T-30","1544.0","2735.0","2720.0","-15.0","54.0","STEP_+","56.0","1.5","crown_2720","wall_L_2720","wall_R_2720","2.8200000000000003","371.21490126078015","742.4298025215603","D:\FLAC_AI\2D\monitor\T-30\T-30_section_displacement.png"
"T-31","1577.0","2705.0","2690.0","-15.0","44.0","STEP_+","46.0","1.5","crown_2690","wall_L_2690","wall_R_2690","2.8200000000000003","364.81989300626486","729.6397860125297","D:\FLAC_AI\2D\monitor\T-31\T-31_section_displacement.png"
"T-32","1601.0","2681.0","2690.0","9.0","36.0","STEP_+","38.0","1.5","crown_2690","wall_L_2690","wall_R_2690","2.8200000000000003","361.0676732509503","722.1353465019006","D:\FLAC_AI\2D\monitor\T-32\T-32_section_displacement.png"
"T-33","1624.9","2657.0","2660.0","3.0","28.0","STEP_+","30.0","1.5","crown_2660","wall_L_2660","wall_R_2660","2.79","328.89182091859084","657.7836418371817","D:\FLAC_AI\2D\monitor\T-33\T-33_section_displacement.png"
"T-34","1650.0","2633.0","2630.0","-3.0","20.0","STEP_+","22.0","1.5","crown_2630","wall_L_2630","wall_R_2630","2.76","295.658330110796","591.316660221592","D:\FLAC_AI\2D\monitor\T-34\T-34_section_displacement.png"
"T-34A","1669.0","2615.0","2600.0","-15.0","14.0","STEP_+","16.0","1.5","crown_2600","wall_L_2600","wall_R_2600","2.7300000000000004","272.7891924015533","545.5783848031066","D:\FLAC_AI\2D\monitor\T-34A\T-34A_section_displacement.png"
"T-35","1676.0","2609.0","2600.0","-9.0","12.0","STEP_+","14.0","1.5","crown_2600","wall_L_2600","wall_R_2600","1.4399999999999995","73.90936640337534","147.8187328067507","D:\FLAC_AI\2D\monitor\T-35\T-35_section_displacement.png"
"T-36","1699.0","2590.0","2600.0","10.0","8.0","STEP_+","10.0","1.5","crown_2600","wall_L_2600","wall_R_2600","1.4699999999999998","75.71156175984078","151.42312351968155","D:\FLAC_AI\2D\monitor\T-36\T-36_section_displacement.png"
