Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used,density_kg_m3,young_GPa,poisson,cohesion_MPa,friction_deg,vertical_stress_Pa,horizontal_stress_Pa,failure_criterion,plastic_zone_thickness_m,plastic_zone_ratio_to_radius,plastic_radius_m,plastic_theta_deg,max_failure_F_Pa,max_sigma_1_Pa,max_sigma_3_Pa,stability_index,yield_state
0.0,0.0,4240.776767802017,5162.376738340128,216.3349955548387,216.2854461669922,0.0,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,0.0,0.0,Mohr-Coulomb,0.0,0.0,3.0,0.0,-176589.5185717854,0.0,0.0,-1.0,no_overburden
1.0,1.0000059721507526,4239.802434854011,5162.151626575821,216.33845161290324,216.4793395996093,0.140887986706133,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,3507.7980976522244,4209.357717182669,Mohr-Coulomb,0.0,0.0,3.0,0.0,-171750.95330047925,9120.275053895784,0.0,-0.9725999294270729,elastic
2.0,2.000011928948515,4238.828101973106,5161.926514521088,216.34190322580645,216.67323303222656,0.3313298064201149,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,8249.376627690608,9899.25195322873,Mohr-Coulomb,0.0,0.0,3.0,0.0,-165210.54345705922,21448.379231995583,0.0,-0.9355625678876264,elastic
3.0,3.000017885746278,4237.853769118778,5161.701402351324,216.34535483870968,216.8671264648437,0.5217716261340684,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,12990.955157728285,15589.146189273943,Mohr-Coulomb,0.0,0.0,3.0,0.0,-158670.13361364015,33776.48341009354,0.0,-0.8985252063481852,elastic
4.0,4.000023842544722,4236.8794362644485,5161.47629018156,216.3488064516129,217.1220245361328,0.7732180845199252,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,19251.413760398507,23101.696512478207,Mohr-Coulomb,0.0,0.0,3.0,0.0,-150034.6201849727,50053.67577703612,0.0,-0.8496235869400264,elastic
5.0,5.000029799342484,4235.90510341012,5161.251178011796,216.3522580645161,217.5098114013672,1.1575533368510662,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,28820.50831918374,34584.609983020484,Mohr-Coulomb,0.0,0.0,3.0,0.0,-136835.26055222415,74933.32162987773,0.0,-0.7748775898984019,elastic
6.0,6.000035756140928,4234.930770555791,5161.026065842032,216.35570967741936,217.8975982666016,1.5418885891822072,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,38389.60287796898,46067.523453562775,Mohr-Coulomb,0.0,0.0,3.0,0.0,-123635.90091947558,99812.96748271935,0.0,-0.7001315928567774,elastic
7.0,7.000041712938486,4233.956437701463,5160.800953672268,216.3591612903226,218.28536987304688,1.9262085827242856,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,47958.317526781066,57549.98103213728,Mohr-Coulomb,0.0,0.0,3.0,0.0,-110437.06532464233,124691.62556963078,0.0,-0.6253885633633944,elastic
8.0,8.000047669737135,4232.982104847134,5160.575841502504,216.36261290322585,218.67315673828125,2.310543835055398,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,57527.4120855656,69032.89450267871,Mohr-Coulomb,0.0,0.0,3.0,0.0,-97237.70569189472,149571.27142247057,0.0,-0.5506425663217753,elastic
9.0,9.000053626534694,4232.007771992806,5160.35072933274,216.36606451612903,219.0609436035156,2.694879087386596,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,67096.50664435225,80515.8079732227,Mohr-Coulomb,0.0,0.0,3.0,0.0,-84038.34605914424,174450.91727531585,0.0,-0.47589656928014,elastic
10.0,10.000059583333345,4231.033439138477,5160.125617162976,216.36951612903223,219.44873046875,3.0792143397177654,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,76665.6012031382,91998.72144376584,Mohr-Coulomb,0.0,0.0,3.0,0.0,-70838.98642639467,199330.56312815932,0.0,-0.4011505722385098,elastic
11.0,11.0000655401309,4230.059106284149,5159.900504993212,216.3729677419355,219.8365020751953,3.4635343332598154,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,86234.31585194958,103481.1790223395,Mohr-Coulomb,0.0,0.0,3.0,0.0,-57640.15083156238,224209.22121506892,0.0,-0.32640754274513234,elastic
12.0,12.00007149692846,4229.08477342982,5159.675392823448,216.3764193548388,220.2242889404297,3.847869585590928,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,95803.4104107341,114964.09249288091,Mohr-Coulomb,0.0,0.0,3.0,0.0,-44440.79119881484,249088.86706790866,0.0,-0.2516615457035136,elastic
13.0,13.000077453727108,4228.110440575491,5159.450280653684,216.379870967742,220.67637634277344,4.296505375031472,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,106973.4455963511,128368.13471562132,Mohr-Coulomb,0.0,0.0,3.0,0.0,-29033.135791119596,278130.95855051285,0.0,-0.16441030037305038,elastic
14.0,14.000083410525551,4227.136107721162,5159.22516848392,216.3833225806452,221.1834716796875,4.800149099042301,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,119513.05623515343,143415.6674821841,Mohr-Coulomb,0.0,0.0,3.0,0.0,-11736.32369887887,310733.9462113989,0.0,-0.06646104363271108,elastic
15.0,15.000089367323111,4226.161774866834,5159.000056314157,216.3867741935484,221.6905517578125,5.303777564264095,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,132052.28696398332,158462.74435678,Mohr-Coulomb,0.03254973703603265,0.010849912345344217,3.0325497370360326,0.0,5559.964355447621,343335.9461063566,0.0,0.03148524555939281,plastic_estimate
16.0,16.00009532412176,4225.187442012505,5158.774944144392,216.3902258064516,222.19764709472656,5.807421288274952,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,144591.89760278634,173510.2771233436,Mohr-Coulomb,0.12780292037039973,0.04260097345679991,3.1278029203704,0.0,22856.776447689335,375938.9337672445,0.0,0.12943450229973774,plastic_estimate
17.0,17.000101280919317,4224.213109158177,5158.549831974628,216.39367741935484,222.7047271728516,6.311049753496718,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,157131.12833161553,188557.35399793863,Mohr-Coulomb,0.21512658415113164,0.07170886138371055,3.2151265841511316,0.0,40153.06450201484,408540.9336622004,0.0,0.22738079149183602,plastic_estimate
18.0,18.000107237717966,4223.238776303848,5158.324719804864,216.39712903225808,223.2118225097656,6.8146934775075465,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,169670.73897041785,203604.88676450143,Mohr-Coulomb,0.29574459749634374,0.09858153249878125,3.295744597496344,0.0,57449.87659425562,441143.9213230864,0.0,0.32533004823217565,plastic_estimate
19.0,19.00011319451616,4222.264443449769,5158.099607634019,216.40058064516128,223.7189178466797,7.318337201518403,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,182210.3496092209,218652.41953106507,Mohr-Coulomb,0.3706117577570745,0.1235372525856915,3.3706117577570747,0.0,74746.6886864974,473746.90898397437,0.0,0.4232793049725209,plastic_estimate
20.0,20.000119151313392,4221.290110595697,5157.874495463147,216.4040322580645,224.2259979248047,7.821965666740198,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,194749.5803380508,233699.49640566093,Mohr-Coulomb,0.4404921380094352,0.14683071266981174,3.4404921380094353,0.0,92042.97674082383,506348.90887893207,0.0,0.5212255941646244,plastic_estimate
21.0,21.00012510811152,4220.3157777416245,5157.649383292274,216.40748387096767,224.73309326171875,8.325609390751026,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,207289.1909768531,248747.0291722237,Mohr-Coulomb,0.5060125015970067,0.1686708338656689,3.5060125015970067,0.0,109339.78883306461,538951.8965398181,0.0,0.6191748509049642,plastic_estimate
22.0,22.000131064909645,4219.341444887552,5157.424271121402,216.410935483871,225.2401885986328,8.829253114761826,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,219828.80161565472,263794.56193878566,Mohr-Coulomb,0.5676834040327521,0.18922780134425068,3.567683404032752,0.0,126636.60092530434,571554.8842007023,0.0,0.7171241076452978,plastic_estimate
23.0,23.00013702170777,4218.367112033479,5157.19915895053,216.4143870967742,225.7472686767578,9.33288157998362,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,232368.0323444846,278841.63881338155,Mohr-Coulomb,0.6259304657560091,0.20864348858533635,3.625930465756009,0.0,143932.8889796309,604156.8840956601,0.0,0.815070396837402,plastic_estimate
24.0,24.0001429785061,4217.392779179407,5156.974046779656,216.41783870967743,226.25436401367188,9.83652530399445,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,244907.64298328693,293889.1715799443,Mohr-Coulomb,0.6811171123049231,0.22703903743497436,3.681117112304923,0.0,161229.70107187156,636759.8717565461,0.0,0.9130196535777411,plastic_estimate
25.0,25.000148935304228,4216.418446325334,5156.748934608784,216.42129032258063,226.5955352783203,10.17424495573968,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,253316.1125741163,303979.3350889395,Mohr-Coulomb,0.7165619555441132,0.23885398518137108,3.716561955544113,0.0,172828.12487347273,658621.8926927024,0.0,0.9786997907422029,plastic_estimate
26.0,26.000154892102355,4215.4441134712615,5156.523822437912,216.4247419354839,226.8602600097656,10.435518074281733,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,259821.23319949026,311785.4798393883,Mohr-Coulomb,0.7431854030555431,0.24772846768518106,3.743185403055543,0.0,181801.11871957197,675535.2063186747,0.0,1.0295125112177483,plastic_estimate
27.0,27.00016084890065,4214.4697806170425,5156.2987102676725,216.4281935483871,227.1249847412109,10.696791192823838,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,266326.35382486554,319591.6245898386,Mohr-Coulomb,0.7691504550251231,0.2563834850083744,3.769150455025123,0.0,190774.11256567296,692448.5199446505,0.0,1.0803252316933034,plastic_estimate
28.0,28.00016680569809,4213.495447762727,5156.073598097854,216.4316451612904,227.38970947265625,10.958064311365888,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,272831.4744502394,327397.76934028725,Mohr-Coulomb,0.7944888912504846,0.2648296304168282,3.7944888912504844,0.0,199747.10641177197,709361.8335706225,0.0,1.1311379521688474,plastic_estimate
29.0,29.00017276249641,4212.521114908411,5155.848485928036,216.4350967741936,227.6544342041016,11.219337429907966,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,279336.595075614,335203.91409073677,Mohr-Coulomb,0.8192302447012998,0.2730767482337666,3.8192302447013,0.0,208720.10025787202,726275.1471965964,0.0,1.1819506726443973,plastic_estimate
30.0,30.00017871929473,4211.546782054094,5155.623373758218,216.4385483870968,228.01168823242188,11.573139845325072,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,288145.4897781377,345774.58773376525,Mohr-Coulomb,0.8518306833333067,0.28394356111110225,3.851830683333307,0.0,220870.86002216733,749178.2734231581,0.0,1.2507586056551887,plastic_estimate
31.0,31.000184676093056,4210.572449199778,5155.3982615884,216.442,228.39572143554688,11.953721435546868,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,297621.1264835301,357145.3517802361,Mohr-Coulomb,0.885804236108109,0.295268078702703,3.885804236108109,0.0,233941.30632776045,773814.9288571783,0.0,1.3247745858294584,plastic_estimate
