case_id,c_scale,phi_delta_deg,formation,density_kg_m3,young_Pa,young_GPa,poisson,cohesion_kPa,cohesion_Pa,cohesion_MPa,friction_deg
c0.75_phim3,0.75,-3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,165.0,165000.0,0.165,32.0
c0.75_phim3,0.75,-3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,108.75,108750.0,0.10875,27.0
c0.75_phim3,0.75,-3.0,SH_ST,2538.0,800000000.0,0.8,0.38,75.0,75000.0,0.075,25.0
c0.75_phim3,0.75,-3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,225.0,225000.0,0.225,39.0
c0.75_phim3,0.75,-3.0,Fault,2490.0,300000000.0,0.3,0.3,20.25,20250.0,0.02025,14.0
c0.75_phip0,0.75,0.0,SS_NK,2565.0,1200000000.0,1.2,0.29,165.0,165000.0,0.165,35.0
c0.75_phip0,0.75,0.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,108.75,108750.0,0.10875,30.0
c0.75_phip0,0.75,0.0,SH_ST,2538.0,800000000.0,0.8,0.38,75.0,75000.0,0.075,28.0
c0.75_phip0,0.75,0.0,SS_NC,2485.0,1000000000.0,1.0,0.25,225.0,225000.0,0.225,42.0
c0.75_phip0,0.75,0.0,Fault,2490.0,300000000.0,0.3,0.3,20.25,20250.0,0.02025,17.0
c0.75_phip3,0.75,3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,165.0,165000.0,0.165,38.0
c0.75_phip3,0.75,3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,108.75,108750.0,0.10875,33.0
c0.75_phip3,0.75,3.0,SH_ST,2538.0,800000000.0,0.8,0.38,75.0,75000.0,0.075,31.0
c0.75_phip3,0.75,3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,225.0,225000.0,0.225,45.0
c0.75_phip3,0.75,3.0,Fault,2490.0,300000000.0,0.3,0.3,20.25,20250.0,0.02025,20.0
c1.00_phim3,1.0,-3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,220.0,220000.0,0.22,32.0
c1.00_phim3,1.0,-3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,145.0,145000.0,0.145,27.0
c1.00_phim3,1.0,-3.0,SH_ST,2538.0,800000000.0,0.8,0.38,100.0,100000.0,0.1,25.0
c1.00_phim3,1.0,-3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,300.0,300000.0,0.3,39.0
c1.00_phim3,1.0,-3.0,Fault,2490.0,300000000.0,0.3,0.3,27.0,27000.0,0.027,14.0
c1.00_phip0,1.0,0.0,SS_NK,2565.0,1200000000.0,1.2,0.29,220.0,220000.0,0.22,35.0
c1.00_phip0,1.0,0.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,145.0,145000.0,0.145,30.0
c1.00_phip0,1.0,0.0,SH_ST,2538.0,800000000.0,0.8,0.38,100.0,100000.0,0.1,28.0
c1.00_phip0,1.0,0.0,SS_NC,2485.0,1000000000.0,1.0,0.25,300.0,300000.0,0.3,42.0
c1.00_phip0,1.0,0.0,Fault,2490.0,300000000.0,0.3,0.3,27.0,27000.0,0.027,17.0
c1.00_phip3,1.0,3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,220.0,220000.0,0.22,38.0
c1.00_phip3,1.0,3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,145.0,145000.0,0.145,33.0
c1.00_phip3,1.0,3.0,SH_ST,2538.0,800000000.0,0.8,0.38,100.0,100000.0,0.1,31.0
c1.00_phip3,1.0,3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,300.0,300000.0,0.3,45.0
c1.00_phip3,1.0,3.0,Fault,2490.0,300000000.0,0.3,0.3,27.0,27000.0,0.027,20.0
c1.25_phim3,1.25,-3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,275.0,275000.0,0.275,32.0
c1.25_phim3,1.25,-3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,181.25,181250.0,0.18125,27.0
c1.25_phim3,1.25,-3.0,SH_ST,2538.0,800000000.0,0.8,0.38,125.0,125000.0,0.125,25.0
c1.25_phim3,1.25,-3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,375.0,375000.0,0.375,39.0
c1.25_phim3,1.25,-3.0,Fault,2490.0,300000000.0,0.3,0.3,33.75,33750.0,0.03375,14.0
c1.25_phip0,1.25,0.0,SS_NK,2565.0,1200000000.0,1.2,0.29,275.0,275000.0,0.275,35.0
c1.25_phip0,1.25,0.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,181.25,181250.0,0.18125,30.0
c1.25_phip0,1.25,0.0,SH_ST,2538.0,800000000.0,0.8,0.38,125.0,125000.0,0.125,28.0
c1.25_phip0,1.25,0.0,SS_NC,2485.0,1000000000.0,1.0,0.25,375.0,375000.0,0.375,42.0
c1.25_phip0,1.25,0.0,Fault,2490.0,300000000.0,0.3,0.3,33.75,33750.0,0.03375,17.0
c1.25_phip3,1.25,3.0,SS_NK,2565.0,1200000000.0,1.2,0.29,275.0,275000.0,0.275,38.0
c1.25_phip3,1.25,3.0,Interbedded_ST,2520.0,600000000.0,0.6,0.32,181.25,181250.0,0.18125,33.0
c1.25_phip3,1.25,3.0,SH_ST,2538.0,800000000.0,0.8,0.38,125.0,125000.0,0.125,31.0
c1.25_phip3,1.25,3.0,SS_NC,2485.0,1000000000.0,1.0,0.25,375.0,375000.0,0.375,45.0
c1.25_phip3,1.25,3.0,Fault,2490.0,300000000.0,0.3,0.3,33.75,33750.0,0.03375,20.0
