parameter_set_id,formation,rock_class,material_group,used_in_stage1_geometry,parameter_level,E,E_GPa,cohesion,cohesion_MPa,friction,sigma_ci,sigma_ci_MPa,mi,GSI,disturbance_D,hb_mb,hb_s,hb_a,tension,poisson,density,dilation,plastic_zone,plastic_radius_estimate_m,settlement_filter_metric,plastic_zone_filter_metric,n_segment_points,segment_p95_crown_settlement_mm,segment_p95_wall_convergence_mm,segment_p95_plastic_zone_thickness_estimate_m,segment_p95_plastic_zone_ratio_to_radius,mean_crown_settlement_mm,mean_wall_convergence_mm,mean_plastic_zone_thickness_estimate_m,mean_plastic_zone_ratio_to_radius,max_plastic_zone_thickness_estimate_m,max_plastic_zone_ratio_to_radius,crown_settlement_mm,wall_convergence_mm,radial_convergence_hydrostatic_equiv_mm,diametral_convergence_hydrostatic_equiv_mm,displacement_model,failure_criterion,stability_index,yield_state_control,failure_flag_formation,pass_stage1_formation,reject_reason_formation,score_2d_formation,rank_2d_formation,failure_flag,score_2d,rank_2d,pass_stage1,reject_reason,failed_formations,danger_mileage,danger_formation,plastic_zone_penalty,crown_settlement_penalty,wall_convergence_penalty,convergence_penalty,parameter_prior_penalty,stability_penalty,notes
P0001,Fault,Fault,Fault,True,min_max_sweep_100_lhs,240404040.4040404,0.2404040404040404,28888.888888888887,0.028888888888888888,19.595959595959595,6111111.111111111,6.111111111111111,3.6969696969696972,27.424242424242422,0.5,0.11666193481455747,6.272392044580957e-05,0.5265694380424889,,0.3090909090909091,2490.0,,6.044338425097896,9.044338425097896,segment_p95,segment_p95,246.0,,,6.044338425097896,2.014779475032632,,,5.711173606965697,1.9037245356552324,6.073807992547143,2.024602664182381,,,,,disabled_plastic_zone_only,generalized_hoek_brown,324.24509628450255,plastic_estimate,True,False,segment_p95_plastic_zone_ratio_to_radius too large,1.9352925158940413,49.0,True,2.1875600344732513,29.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,1429.0,Fault,1.007389737516316,,,0.0,0.4566880930517295,5.784579040521089,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0001,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,min_max_sweep_100_lhs,1852401490.9090912,1.8524014909090913,103183.36363636365,0.10318336363636364,21.572727272727274,1618650.0,1.61865,9.373737373737374,39.54545454545455,0.5,0.5268307201718317,0.0003157353925201957,0.511724767277194,,0.24838383838383837,2520.0,,6.896341530118363,9.896341530118363,segment_p95,segment_p95,924.0,,,6.896341530118363,2.2987805100394545,,,6.5874110578034974,2.1958036859344987,6.915106241620947,2.305035413873649,,,,,disabled_plastic_zone_only,generalized_hoek_brown,723.7418106674447,plastic_estimate,True,False,segment_p95_plastic_zone_ratio_to_radius too large,2.1875600344732513,36.0,True,2.1875600344732513,29.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,767.0,Interbedded_ST,1.1493902550197272,,,0.0,0.16708499132741558,6.585815468210425,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0001,SH_ST,SH_ST,SH_ST,True,min_max_sweep_100_lhs,2964680100.0,2.9646801,201054.46363636362,0.20105446363636362,23.757373737373737,10929707.454545453,10.929707454545452,7.91919191919192,28.939393939393938,0.5,0.2685953750890561,7.676609591309484e-05,0.523996371835586,,0.38,2505.8585858585857,,5.529031241125629,8.52903124112563,segment_p95,segment_p95,2261.0,,,5.529031241125629,1.8430104137085428,,,4.286003973720626,1.428667991240209,5.78147459252428,1.9271581975080934,,,,,disabled_plastic_zone_only,generalized_hoek_brown,245.20543242457458,plastic_estimate,False,True,,1.803074333086938,57.0,True,2.1875600344732513,29.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,1077.0,SH_ST,0.9215052068542714,,,0.0,0.21424344454647484,5.506166278594553,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0001,SS_NC,SS_NC,SS_NC,False,min_max_sweep_100_lhs,1314156518.1818185,1.3141565181818184,403594.3,0.40359429999999996,37.8869696969697,1196820.0,1.19682,12.606060606060606,40.75757575757576,0.5,0.7505941978905639,0.0003711182180830607,0.5107981161304207,,0.1598989898989899,2596.6666666666665,,,,,,,,,,,,,,,,,,,,,,generalized_hoek_brown,,,,,,,,True,2.1875600344732513,29.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,,,,,,,,,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0001,SS_NK,SS_NK,SS_NK,False,min_max_sweep_100_lhs,461364300.0,0.4613643,138737.18181818182,0.13873718181818182,27.6969696969697,213293.18181818182,0.21329318181818183,14.525252525252526,35.0,0.5,0.6574744289010905,0.00017223225596081014,0.5159498890105109,,0.38,2390.0,,,,,,,,,,,,,,,,,,,,,,generalized_hoek_brown,,,,,,,,True,2.1875600344732513,29.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,,,,,,,,,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0002,Fault,Fault,Fault,True,min_max_sweep_100_lhs,268686868.68686867,0.26868686868686864,26161.61616161616,0.02616161616161616,18.98989898989899,9848484.848484848,9.848484848484848,4.878787878787879,18.03030303030303,0.5,0.09842877391828804,1.7925380770222155e-05,0.5498856198601928,,0.3419191919191919,2490.0,,6.503358405888858,9.503358405888857,segment_p95,segment_p95,246.0,,,6.503358405888858,2.167786135296286,,,6.170193587756659,2.056731195918886,6.5328279733381045,2.177609324446035,,,,,disabled_plastic_zone_only,generalized_hoek_brown,502.579163889638,plastic_estimate,True,False,segment_p95_plastic_zone_ratio_to_radius too large,2.0691484064991106,76.0,True,2.2803045196442744,48.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,1429.0,Fault,1.083893067648143,,,0.0,0.23760840730537708,6.221740926988671,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0002,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,min_max_sweep_100_lhs,1949470945.4545455,1.9494709454545456,131672.0,0.131672,21.855555555555558,1618650.0,1.61865,7.505050505050505,36.06060606060606,0.5,0.3573080978685392,0.00019839461110480523,0.5148465869643258,,0.3097979797979798,2520.0,,7.173946205534774,10.173946205534774,segment_p95,segment_p95,924.0,,,7.173946205534774,2.391315401844925,,,6.8650157332199075,2.288338577739969,7.192710917037358,2.3975703056791193,,,,,disabled_plastic_zone_only,generalized_hoek_brown,943.0705262532778,plastic_estimate,True,False,segment_p95_plastic_zone_ratio_to_radius too large,2.2803045196442744,60.0,True,2.2803045196442744,48.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,767.0,Interbedded_ST,1.1956577009224625,,,0.0,0.27042138557290085,6.850200873368912,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0002,SH_ST,SH_ST,SH_ST,True,min_max_sweep_100_lhs,2964680100.0,2.9646801,206991.0,0.206991,18.81030303030303,6737349.454545453,6.737349454545453,4.363636363636363,40.0,0.5,0.2506150658950575,0.00033546262790251185,0.5113684695702436,,0.38,2423.4343434343436,,5.084447234410894,8.084447234410895,segment_p95,segment_p95,2261.0,,,5.084447234410894,1.6948157448036314,,,3.84874732579452,1.28291577526484,5.336890585809545,1.7789635286031817,,,,,disabled_plastic_zone_only,generalized_hoek_brown,160.2172668622453,plastic_estimate,False,True,,1.6770539464160021,30.0,True,2.2803045196442744,48.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,1077.0,SH_ST,0.8474078724018157,,,0.0,0.49894908682787464,5.082752938866234,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0002,SS_NC,SS_NC,SS_NC,False,min_max_sweep_100_lhs,2394314809.0909095,2.3943148090909094,217264.74545454545,0.21726474545454547,25.403030303030306,39957220.0,39.95722,14.525252525252526,43.93939393939394,0.5,1.0063561336201625,0.0005672289891977492,0.508693695529403,,0.16696969696969696,2509.3939393939395,,,,,,,,,,,,,,,,,,,,,,generalized_hoek_brown,,,,,,,,True,2.2803045196442744,48.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,,,,,,,,,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
P0002,SS_NK,SS_NK,SS_NK,False,min_max_sweep_100_lhs,461364300.0,0.4613643,113746.45454545454,0.11374645454545454,29.62727272727273,285589.9090909091,0.28558990909090914,13.212121212121213,50.95959595959596,0.5,1.278742721812431,0.0014463378489571995,0.5053651086112381,,0.38,2390.0,,,,,,,,,,,,,,,,,,,,,,generalized_hoek_brown,,,,,,,,True,2.2803045196442744,48.0,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,Interbedded_ST; Fault,,,,,,,,,"All-results row format: one parameter_set_id x formation row; main metrics are segment_p95 values within that formation. Displacement is CCM hydrostatic-equivalent estimate, not directional K0 crown/wall solution."
