parameter_set_id,parameter_level,n_formations_checked,n_formations_passed,failed_formations,max_segment_p95_crown_settlement_mm,max_segment_p95_wall_convergence_mm,max_segment_p95_plastic_zone_thickness_estimate_m,max_segment_p95_plastic_zone_ratio_to_radius,max_crown_settlement_mm,max_wall_convergence_mm,max_sidewall_convergence_mm,max_radial_convergence_hydrostatic_equiv_mm,max_diametral_convergence_hydrostatic_equiv_mm,max_plastic_zone_thickness_estimate_m,max_plastic_zone_ratio_to_radius,max_stability_index,displacement_model,danger_mileage,danger_formation,yield_state_control,material_invalid_reason,result_invalid_reason,parameter_prior_penalty,plastic_zone_penalty,crown_settlement_penalty,wall_convergence_penalty,convergence_penalty,stability_penalty,score_2d,failure_flag,pass_stage1,reject_reason,rank_2d
P0049,min_max_sweep_100_lhs,3,2,Interbedded_ST,,,6.511864145926523,2.170621381975508,,,,,,6.5306288574291065,2.176876285809702,501.5255733539159,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.18998741625004256,1.085310690987754,,,0.0,6.219646530884863,2.0708293736984738,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large,1.0
P0030,min_max_sweep_100_lhs,3,1,Interbedded_ST; Fault,,,6.523323120929765,2.174441040309922,,,,,,6.5420878324323475,2.180695944144116,507.03982512028705,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.24375063769003166,1.087220520154961,,,0.0,6.23055984041176,2.073922011805348,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,2.0
P0038,min_max_sweep_100_lhs,3,2,Interbedded_ST,,,6.5004156114773455,2.166805203825782,,,,,,6.519180322979928,2.173060107659976,496.0761157351232,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.3317960752304187,1.083402601912891,,,0.0,6.208743164742789,2.0757963501214163,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large,3.0
P0050,min_max_sweep_100_lhs,3,1,Interbedded_ST; Fault,,,6.569265942301504,2.1897553141005015,,,,,,6.588030653804086,2.1960102179346954,529.762636141054,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.1412304866850322,1.0948776570502508,,,0.0,6.274314908384845,2.077396594324876,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,4.0
P0041,min_max_sweep_100_lhs,3,2,Interbedded_ST,,,6.546272892830462,2.1820909642768207,,,,,,6.565037604333044,2.1883458681110146,518.266254480081,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.29609903751317895,1.0910454821384103,,,0.0,6.2524167660314705,2.078852150046302,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large,5.0
P0005,min_max_sweep_100_lhs,3,1,Interbedded_ST; Fault,,,6.557763943500033,2.1859213145000114,,,,,,6.576528655002615,2.1921762183342053,523.9802400125791,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.2378736863585349,1.0929606572500057,,,0.0,6.263360623812016,2.0835792313107633,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,6.0
P0059,min_max_sweep_100_lhs,3,1,Interbedded_ST; Fault,,,6.626944783619832,2.208981594539944,,,,,,6.645709495122415,2.2152364983741384,559.7342794884166,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.12104207053702006,1.104490797269972,,,0.0,6.329247138211824,2.0982783357162598,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,7.0
P0096,min_max_sweep_100_lhs,3,2,Interbedded_ST,,,6.638515268139194,2.212838422713065,,,,,,6.6572799796417765,2.219093326547259,565.9474662267587,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.18585178383158185,1.1064192113565325,,,0.0,6.3402666472778835,2.104671125382424,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large,8.0
P0031,min_max_sweep_100_lhs,3,0,SH_ST; Interbedded_ST; Fault,,,6.603838941314458,2.2012796471048195,,,,,,6.622603652817041,2.207534550939014,547.5297812847774,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.37821310750603687,1.1006398235524097,,,0.0,6.307241574111468,2.1100727595705724,True,False,SH_ST: segment_p95_plastic_zone_ratio_to_radius too large; Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large; Fault: segment_p95_plastic_zone_ratio_to_radius too large,9.0
P0039,min_max_sweep_100_lhs,3,2,Interbedded_ST,,,6.615386054149418,2.205128684716473,,,,,,6.6341507656520005,2.211383588550667,553.5953919857282,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,,segment_p95_plastic_zone_ratio_to_radius too large,0.24614495119545635,1.1025643423582365,,,0.0,6.318238824430478,2.1114382800977887,True,False,Interbedded_ST: segment_p95_plastic_zone_ratio_to_radius too large,10.0
