parameter_set_id,parameter_level,formation,formation_used,material_group,used_in_stage1_geometry,tension,dilation,density,density_position_0_1,density_source_parameter,density_source_unit,E,E_position_0_1,E_source_parameter,E_source_unit,poisson,poisson_position_0_1,poisson_source_parameter,poisson_source_unit,cohesion,cohesion_position_0_1,cohesion_source_parameter,cohesion_source_unit,friction,friction_position_0_1,friction_source_parameter,friction_source_unit,sigma_ci,sigma_ci_position_0_1,sigma_ci_source_parameter,sigma_ci_source_unit,mi,mi_position_0_1,mi_source_parameter,mi_source_unit,GSI,GSI_position_0_1,GSI_source_parameter,GSI_source_unit,disturbance_D,disturbance_D_position_0_1,disturbance_D_source_parameter,disturbance_D_source_unit,gamma_N_m3,E_GPa,cohesion_MPa,sigma_ci_MPa,hb_mb,hb_s,hb_a
P0001,min_max_sweep_100_lhs,Fault,Fault,Fault,True,,,2490.0,0.5,density_kg_m3,kg/m3,240404040.4040404,0.10101010101010102,E_GPa,GPa,0.3090909090909091,0.18181818181818182,nu,-,28888.888888888887,0.888888888888889,c_MPa,MPa,19.595959595959595,0.8989898989898991,phi_deg,deg,6111111.111111111,0.11111111111111112,sigma_ci_MPa,MPa,3.6969696969696972,0.23232323232323235,mi,-,27.424242424242422,0.8282828282828284,GSI,-,0.5,0.5,D_hb,-,24426.9,0.2404040404040404,0.028888888888888888,6.111111111111111,0.11666193481455747,6.272392044580957e-05,0.5265694380424889
P0001,min_max_sweep_100_lhs,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,,,2520.0,0.5,density_kg_m3,kg/m3,1852401490.9090912,0.48484848484848486,E_GPa,GPa,0.24838383838383837,0.20202020202020204,nu,-,103183.36363636365,0.6363636363636365,c_MPa,MPa,21.572727272727274,0.8181818181818182,phi_deg,deg,1618650.0,0.5,sigma_ci_MPa,MPa,9.373737373737374,0.4747474747474748,mi,-,39.54545454545455,0.6363636363636365,GSI,-,0.5,0.5,D_hb,-,24721.2,1.8524014909090913,0.10318336363636364,1.61865,0.5268307201718317,0.0003157353925201957,0.511724767277194
P0001,min_max_sweep_100_lhs,SH_ST,SH_ST,SH_ST,True,,,2505.8585858585857,0.5050505050505051,density_kg_m3,kg/m3,2964680100.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,201054.46363636362,0.9696969696969697,c_MPa,MPa,23.757373737373737,0.2828282828282829,phi_deg,deg,10929707.454545453,0.5757575757575758,sigma_ci_MPa,MPa,7.91919191919192,0.9797979797979799,mi,-,28.939393939393938,0.26262626262626265,GSI,-,0.5,0.5,D_hb,-,24582.472727272725,2.9646801,0.20105446363636362,10.929707454545452,0.2685953750890561,7.676609591309484e-05,0.523996371835586
P0001,min_max_sweep_100_lhs,SS_NC,SS_NC,SS_NC,False,,,2596.6666666666665,0.888888888888889,density_kg_m3,kg/m3,1314156518.1818185,0.21212121212121213,E_GPa,GPa,0.1598989898989899,0.07070707070707072,nu,-,403594.3,0.888888888888889,c_MPa,MPa,37.8869696969697,0.696969696969697,phi_deg,deg,1196820.0,0.0,sigma_ci_MPa,MPa,12.606060606060606,0.06060606060606061,mi,-,40.75757575757576,0.05050505050505051,GSI,-,0.5,0.5,D_hb,-,25473.3,1.3141565181818184,0.40359429999999996,1.19682,0.7505941978905639,0.0003711182180830607,0.5107981161304207
P0001,min_max_sweep_100_lhs,SS_NK,SS_NK,SS_NK,False,,,2390.0,0.5,density_kg_m3,kg/m3,461364300.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,138737.18181818182,0.393939393939394,c_MPa,MPa,27.6969696969697,0.3535353535353536,phi_deg,deg,213293.18181818182,0.16161616161616163,sigma_ci_MPa,MPa,14.525252525252526,0.25252525252525254,mi,-,35.0,0.0,GSI,-,0.5,0.5,D_hb,-,23445.9,0.4613643,0.13873718181818182,0.21329318181818183,0.6574744289010905,0.00017223225596081014,0.5159498890105109
P0002,min_max_sweep_100_lhs,Fault,Fault,Fault,True,,,2490.0,0.5,density_kg_m3,kg/m3,268686868.68686867,0.17171717171717174,E_GPa,GPa,0.3419191919191919,0.8383838383838385,nu,-,26161.61616161616,0.6161616161616162,c_MPa,MPa,18.98989898989899,0.7474747474747475,phi_deg,deg,9848484.848484848,0.48484848484848486,sigma_ci_MPa,MPa,4.878787878787879,0.6262626262626263,mi,-,18.03030303030303,0.20202020202020204,GSI,-,0.5,0.5,D_hb,-,24426.9,0.26868686868686864,0.02616161616161616,9.848484848484848,0.09842877391828804,1.7925380770222155e-05,0.5498856198601928
P0002,min_max_sweep_100_lhs,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,,,2520.0,0.5,density_kg_m3,kg/m3,1949470945.4545455,0.686868686868687,E_GPa,GPa,0.3097979797979798,0.5252525252525253,nu,-,131672.0,0.888888888888889,c_MPa,MPa,21.855555555555558,0.888888888888889,phi_deg,deg,1618650.0,0.5,sigma_ci_MPa,MPa,7.505050505050505,0.10101010101010102,mi,-,36.06060606060606,0.4040404040404041,GSI,-,0.5,0.5,D_hb,-,24721.2,1.9494709454545456,0.131672,1.61865,0.3573080978685392,0.00019839461110480523,0.5148465869643258
P0002,min_max_sweep_100_lhs,SH_ST,SH_ST,SH_ST,True,,,2423.4343434343436,0.020202020202020204,density_kg_m3,kg/m3,2964680100.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,206991.0,1.0,c_MPa,MPa,18.81030303030303,0.12121212121212122,phi_deg,deg,6737349.454545453,0.3535353535353536,sigma_ci_MPa,MPa,4.363636363636363,0.09090909090909091,mi,-,40.0,1.0,GSI,-,0.5,0.5,D_hb,-,23773.89090909091,2.9646801,0.206991,6.737349454545453,0.2506150658950575,0.00033546262790251185,0.5113684695702436
P0002,min_max_sweep_100_lhs,SS_NC,SS_NC,SS_NC,False,,,2509.3939393939395,0.16161616161616163,density_kg_m3,kg/m3,2394314809.0909095,0.494949494949495,E_GPa,GPa,0.16696969696969696,0.12121212121212122,nu,-,217264.74545454545,0.4545454545454546,c_MPa,MPa,25.403030303030306,0.30303030303030304,phi_deg,deg,39957220.0,0.7070707070707072,sigma_ci_MPa,MPa,14.525252525252526,0.25252525252525254,mi,-,43.93939393939394,0.26262626262626265,GSI,-,0.5,0.5,D_hb,-,24617.15454545455,2.3943148090909094,0.21726474545454547,39.95722,1.0063561336201625,0.0005672289891977492,0.508693695529403
P0002,min_max_sweep_100_lhs,SS_NK,SS_NK,SS_NK,False,,,2390.0,0.5,density_kg_m3,kg/m3,461364300.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,113746.45454545454,0.26262626262626265,c_MPa,MPa,29.62727272727273,0.48484848484848486,phi_deg,deg,285589.9090909091,0.8080808080808082,sigma_ci_MPa,MPa,13.212121212121213,0.12121212121212122,mi,-,50.95959595959596,0.797979797979798,GSI,-,0.5,0.5,D_hb,-,23445.9,0.4613643,0.11374645454545454,0.28558990909090914,1.278742721812431,0.0014463378489571995,0.5053651086112381
P0003,min_max_sweep_100_lhs,Fault,Fault,Fault,True,,,2490.0,0.5,density_kg_m3,kg/m3,486868686.8686869,0.7171717171717172,E_GPa,GPa,0.3242424242424242,0.48484848484848486,nu,-,22525.252525252523,0.25252525252525254,c_MPa,MPa,16.88888888888889,0.22222222222222224,phi_deg,deg,5808080.808080808,0.08080808080808081,sigma_ci_MPa,MPa,6.0,1.0,mi,-,27.12121212121212,0.8080808080808082,GSI,-,0.5,0.5,D_hb,-,24426.9,0.4868686868686869,0.022525252525252525,5.808080808080808,0.18662407097044043,6.024013597996088e-05,0.527115981380768
P0003,min_max_sweep_100_lhs,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,,,2520.0,0.5,density_kg_m3,kg/m3,1925203581.8181818,0.6363636363636365,E_GPa,GPa,0.328989898989899,0.6262626262626263,nu,-,136230.1818181818,0.9292929292929294,c_MPa,MPa,19.592929292929295,0.32323232323232326,phi_deg,deg,1618650.0,0.5,sigma_ci_MPa,MPa,9.424242424242424,0.48484848484848486,mi,-,32.27272727272727,0.15151515151515152,GSI,-,0.5,0.5,D_hb,-,24721.2,1.9252035818181819,0.1362301818181818,1.61865,0.3746275770354471,0.0001197262070055988,0.5191725277436547
P0003,min_max_sweep_100_lhs,SH_ST,SH_ST,SH_ST,True,,,2526.4646464646466,0.6262626262626263,density_kg_m3,kg/m3,2964680100.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,195117.92727272725,0.9393939393939394,c_MPa,MPa,20.974646464646465,0.19191919191919193,phi_deg,deg,15312627.18181818,0.8080808080808082,sigma_ci_MPa,MPa,6.181818181818182,0.5454545454545455,mi,-,29.09090909090909,0.27272727272727276,GSI,-,0.5,0.5,D_hb,-,24784.618181818183,2.9646801,0.19511792727272725,15.31262718181818,0.21118707134513864,7.83326971081007e-05,0.5237530726127502
P0003,min_max_sweep_100_lhs,SS_NC,SS_NC,SS_NC,False,,,2508.181818181818,0.15151515151515152,density_kg_m3,kg/m3,2587200218.1818185,0.5454545454545455,E_GPa,GPa,0.28434343434343434,0.9595959595959597,nu,-,186932.02727272728,0.38383838383838387,c_MPa,MPa,38.52717171717172,0.7171717171717172,phi_deg,deg,25560499.999999996,0.4444444444444445,sigma_ci_MPa,MPa,12.1010101010101,0.010101010101010102,mi,-,49.24242424242424,0.6161616161616162,GSI,-,0.5,0.5,D_hb,-,24605.263636363637,2.5872002181818186,0.18693202727272729,25.560499999999998,1.0792447721903493,0.0011503641118999592,0.5060415583348563
P0003,min_max_sweep_100_lhs,SS_NK,SS_NK,SS_NK,False,,,2390.0,0.5,density_kg_m3,kg/m3,461364300.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,186796.27272727274,0.6464646464646465,c_MPa,MPa,23.093939393939394,0.04040404040404041,phi_deg,deg,302534.4545454546,0.9595959595959597,sigma_ci_MPa,MPa,13.919191919191919,0.19191919191919193,mi,-,48.333333333333336,0.6666666666666667,GSI,-,0.5,0.5,D_hb,-,23445.9,0.4613643,0.18679627272727273,0.3025344545454546,1.1888080198385167,0.0010190454849489836,0.5064322890037308
P0004,min_max_sweep_100_lhs,Fault,Fault,Fault,True,,,2490.0,0.5,density_kg_m3,kg/m3,507070707.070707,0.7676767676767677,E_GPa,GPa,0.3323232323232323,0.6464646464646465,nu,-,25151.515151515152,0.5151515151515152,c_MPa,MPa,18.262626262626263,0.5656565656565657,phi_deg,deg,6616161.616161616,0.16161616161616163,sigma_ci_MPa,MPa,5.696969696969697,0.8989898989898991,mi,-,29.545454545454547,0.9696969696969697,GSI,-,0.5,0.5,D_hb,-,24426.9,0.507070707070707,0.02515151515151515,6.616161616161616,0.19888192866900437,8.322694587016918e-05,0.5230377480784557
P0004,min_max_sweep_100_lhs,Interbedded_ST,Interbedded_ST,Interbedded_ST,True,,,2520.0,0.5,density_kg_m3,kg/m3,2090221654.5454547,0.9797979797979799,E_GPa,GPa,0.3923232323232323,0.9595959595959597,nu,-,54182.909090909096,0.20202020202020204,c_MPa,MPa,18.461616161616163,0.04040404040404041,phi_deg,deg,1618650.0,0.5,sigma_ci_MPa,MPa,9.727272727272727,0.5454545454545455,mi,-,33.78787878787879,0.25252525252525254,GSI,-,0.5,0.5,D_hb,-,24721.2,2.090221654545455,0.054182909090909094,1.61865,0.41560308728045986,0.0001465296401273793,0.5173101278133356
P0004,min_max_sweep_100_lhs,SH_ST,SH_ST,SH_ST,True,,,2560.808080808081,0.8282828282828284,density_kg_m3,kg/m3,2964680100.0,0.5,E_GPa,GPa,0.38,0.5,nu,-,171371.7818181818,0.8181818181818182,c_MPa,MPa,18.19191919191919,0.10101010101010102,phi_deg,deg,18361614.818181816,0.9696969696969697,sigma_ci_MPa,MPa,4.242424242424242,0.06060606060606061,mi,-,34.54545454545455,0.6363636363636365,GSI,-,0.5,0.5,D_hb,-,25121.527272727275,2.9646801,0.1713717818181818,18.361614818181817,0.1879182491370683,0.0001621039556043436,0.5164471425173605
P0004,min_max_sweep_100_lhs,SS_NC,SS_NC,SS_NC,False,,,2493.6363636363635,0.030303030303030304,density_kg_m3,kg/m3,3975975163.636365,0.9090909090909092,E_GPa,GPa,0.20515151515151514,0.393939393939394,nu,-,143599.57272727272,0.2828282828282829,c_MPa,MPa,40.767878787878786,0.787878787878788,phi_deg,deg,11163780.0,0.18181818181818182,sigma_ci_MPa,MPa,14.222222222222221,0.22222222222222224,mi,-,40.90909090909091,0.06060606060606061,GSI,-,0.5,0.5,D_hb,-,24462.572727272727,3.975975163636365,0.14359957272727272,11.16378,0.8529561605271403,0.0003786917990633352,0.5106874615714201
