formation,parameter,unit,input_count,input_min,input_max,screened_count,screened_min,screened_max,screened_pass_ratio
Fault,E_GPa,GPa,100,0.2,0.6,43,0.2,0.595959595959596,0.43
Fault,cohesion_MPa,MPa,100,0.02,0.03,43,0.02,0.029696969696969694,0.43
Fault,friction,deg,100,16.0,20.0,43,16.0,19.95959595959596,0.43
Fault,sigma_ci_MPa,MPa,100,5.0,15.0,43,6.616161616161616,15.0,0.43
Fault,mi,-,100,3.0,6.0,43,3.0303030303030303,5.909090909090909,0.43
Fault,GSI,-,100,15.0,30.0,43,20.606060606060606,30.0,0.43
Fault,disturbance_D,-,100,0.5,0.5,43,0.5,0.5,0.43
Fault,density,kg/m3,100,2490.0,2490.0,43,2490.0,2490.0,0.43
Fault,poisson,-,100,0.3,0.35,43,0.3015151515151515,0.34898989898989896,0.43
Interbedded_ST,E_GPa,GPa,100,1.6194348,2.0999286,0,,,0.0
Interbedded_ST,cohesion_MPa,MPa,100,0.031392,0.144207,0,,,0.0
Interbedded_ST,friction,deg,100,18.3,22.3,0,,,0.0
Interbedded_ST,sigma_ci_MPa,MPa,100,1.61865,1.61865,0,,,0.0
Interbedded_ST,mi,-,100,7.0,12.0,0,,,0.0
Interbedded_ST,GSI,-,100,30.0,45.0,0,,,0.0
Interbedded_ST,disturbance_D,-,100,0.5,0.5,0,,,0.0
Interbedded_ST,density,kg/m3,100,2520.0,2520.0,0,,,0.0
Interbedded_ST,poisson,-,100,0.21,0.4,0,,,0.0
SH_ST,E_GPa,GPa,100,2.9646801,2.9646801,72,2.9646801,2.9646801,0.72
SH_ST,cohesion_MPa,MPa,100,0.0110853,0.206991,72,0.0110853,0.206991,0.72
SH_ST,friction,deg,100,15.1,45.71,72,15.1,45.71,0.72
SH_ST,sigma_ci_MPa,MPa,100,0.067689,18.9333,72,4.069485272727272,18.9333,0.72
SH_ST,mi,-,100,4.0,8.0,72,4.0,8.0,0.72
SH_ST,GSI,-,100,25.0,40.0,72,25.151515151515152,40.0,0.72
SH_ST,disturbance_D,-,100,0.5,0.5,72,0.5,0.5,0.72
SH_ST,density,kg/m3,100,2420.0,2590.0,72,2420.0,2590.0,0.72
SH_ST,poisson,-,100,0.38,0.38,72,0.38,0.38,0.72
SS_NC,E_GPa,GPa,100,0.5040378000000001,4.323168900000001,0,,,0.0
SS_NC,cohesion_MPa,MPa,100,0.022268700000000002,0.45126,0,,,0.0
SS_NC,friction,deg,100,15.8,47.49,0,,,0.0
SS_NC,sigma_ci_MPa,MPa,100,1.19682,56.0151,0,,,0.0
SS_NC,mi,-,100,12.0,22.0,0,,,0.0
SS_NC,GSI,-,100,40.0,55.0,0,,,0.0
SS_NC,disturbance_D,-,100,0.5,0.5,0,,,0.0
SS_NC,density,kg/m3,100,2490.0,2610.0,0,,,0.0
SS_NC,poisson,-,100,0.15,0.29,0,,,0.0
SS_NK,E_GPa,GPa,100,0.4613643,0.4613643,0,,,0.0
SS_NK,cohesion_MPa,MPa,100,0.063765,0.254079,0,,,0.0
SS_NK,friction,deg,100,22.5,37.2,0,,,0.0
SS_NK,sigma_ci_MPa,MPa,100,0.195219,0.307053,0,,,0.0
SS_NK,mi,-,100,12.0,22.0,0,,,0.0
SS_NK,GSI,-,100,35.0,55.0,0,,,0.0
SS_NK,disturbance_D,-,100,0.5,0.5,0,,,0.0
SS_NK,density,kg/m3,100,2390.0,2390.0,0,,,0.0
SS_NK,poisson,-,100,0.38,0.38,0,,,0.0
