formation,parameter,n_excel_values,source
SS_NK,density_kg_m3,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NK,E_GPa,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NK,nu,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NK,c_MPa,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NK,phi_deg,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NK,sigma_ci_MPa,2,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,density_kg_m3,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,E_GPa,2,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,nu,2,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,c_MPa,2,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,phi_deg,2,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Interbedded_ST,sigma_ci_MPa,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,density_kg_m3,6,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,E_GPa,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,nu,1,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,c_MPa,4,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,phi_deg,4,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SH_ST,sigma_ci_MPa,5,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,density_kg_m3,5,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,E_GPa,3,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,nu,3,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,c_MPa,7,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,phi_deg,7,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
SS_NC,sigma_ci_MPa,5,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,density_kg_m3,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,E_GPa,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,nu,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,c_MPa,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,phi_deg,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
Fault,sigma_ci_MPa,0,D:\FLAC_AI\2D\int\力學試驗資料彙整.xlsx
