version,formation,parameter,unit,min,q50,max,source
before,SS_NK,density_kg_m3,kg/m3,2560.0,2565.0,2570.0,param_sources.csv; uploaded_mechanical_test_values
before,SS_NK,E_GPa,GPa,0.5040378000000001,0.5040378000000001,0.5040378000000001,param_sources.csv; uploaded_mechanical_test_values
before,SS_NK,nu,-,0.29,0.29,0.29,param_sources.csv; uploaded_mechanical_test_values
before,SS_NK,c_MPa,MPa,0.063765,0.15892199999989998,0.254079,param_sources.csv; uploaded_mechanical_test_values
before,SS_NK,phi_deg,deg,22.5,29.85,37.2,param_sources.csv; uploaded_mechanical_test_values
before,Interbedded_ST,density_kg_m3,kg/m3,2520.0,2520.0,2520.0,param_sources.csv; uploaded_mechanical_test_values
before,Interbedded_ST,E_GPa,GPa,0.015,0.125,0.235,fallback_previous_stats_no_uploaded_value
before,Interbedded_ST,nu,-,0.25,0.315,0.38,fallback_previous_stats_no_uploaded_value
before,Interbedded_ST,c_MPa,MPa,0.144207,0.144207,0.144207,param_sources.csv; uploaded_mechanical_test_values
before,Interbedded_ST,phi_deg,deg,22.3,22.3,22.3,param_sources.csv; uploaded_mechanical_test_values
before,SH_ST,density_kg_m3,kg/m3,2390.0,2580.0,2610.0,param_sources.csv; uploaded_mechanical_test_values
before,SH_ST,E_GPa,GPa,0.4613643,1.6194348000000005,2.9646801,param_sources.csv; uploaded_mechanical_test_values
before,SH_ST,nu,-,0.38,0.38,0.4,param_sources.csv; uploaded_mechanical_test_values
before,SH_ST,c_MPa,MPa,0.011085,0.16677,0.307053,param_sources.csv; uploaded_mechanical_test_values
before,SH_ST,phi_deg,deg,15.1,35.6,53.15,param_sources.csv; uploaded_mechanical_test_values
before,SS_NC,density_kg_m3,kg/m3,2420.0,2485.0,2550.0,param_sources.csv; uploaded_mechanical_test_values
before,SS_NC,E_GPa,GPa,2.0999286,3.2115487500000004,4.323168900000001,param_sources.csv; uploaded_mechanical_test_values
before,SS_NC,nu,-,0.15,0.18,0.21,param_sources.csv; uploaded_mechanical_test_values
before,SS_NC,c_MPa,MPa,0.071613,0.21385800000000002,0.377685,param_sources.csv; uploaded_mechanical_test_values
before,SS_NC,phi_deg,deg,17.7,30.9,49.21,param_sources.csv; uploaded_mechanical_test_values
before,Fault,density_kg_m3,kg/m3,2490.0,2525.0,2560.0,param_sources.csv; uploaded_mechanical_test_values
before,Fault,E_GPa,GPa,3.2158161,3.2158161,3.2158161,param_sources.csv; uploaded_mechanical_test_values
before,Fault,nu,-,0.23,0.23,0.23,param_sources.csv; uploaded_mechanical_test_values
before,Fault,c_MPa,MPa,0.022269,0.059988,1.243908,param_sources.csv; uploaded_mechanical_test_values
before,Fault,phi_deg,deg,15.8,21.3,77.81,param_sources.csv; uploaded_mechanical_test_values
after,SS_NK,density_kg_m3,kg/m3,2560.0,2565.0,2570.0,param_sources.csv; uploaded_mechanical_test_values
after,SS_NK,E_GPa,GPa,0.5040378000000001,0.5040378000000001,0.5040378000000001,param_sources.csv; uploaded_mechanical_test_values
after,SS_NK,nu,-,0.29,0.29,0.29,param_sources.csv; uploaded_mechanical_test_values
after,SS_NK,c_MPa,MPa,0.063765,0.158922,0.254079,param_sources.csv; uploaded_mechanical_test_values
after,SS_NK,phi_deg,deg,22.5,29.85,37.2,param_sources.csv; uploaded_mechanical_test_values
after,Interbedded_ST,density_kg_m3,kg/m3,2520.0,2520.0,2520.0,param_sources.csv; uploaded_mechanical_test_values
after,Interbedded_ST,E_GPa,GPa,0.015,0.125,0.23500000000000001,fallback_previous_stats_no_uploaded_value
after,Interbedded_ST,nu,-,0.25,0.315,0.38,fallback_previous_stats_no_uploaded_value
after,Interbedded_ST,c_MPa,MPa,0.144207,0.144207,0.144207,param_sources.csv; uploaded_mechanical_test_values
after,Interbedded_ST,phi_deg,deg,22.3,22.3,22.3,param_sources.csv; uploaded_mechanical_test_values
after,SH_ST,density_kg_m3,kg/m3,2390.0,2580.0,2610.0,param_sources.csv; uploaded_mechanical_test_values
after,SH_ST,E_GPa,GPa,0.4613643,1.6194348000000003,2.9646801,param_sources.csv; uploaded_mechanical_test_values
after,SH_ST,nu,-,0.38,0.38,0.4,param_sources.csv; uploaded_mechanical_test_values
after,SH_ST,c_MPa,MPa,0.011085,0.16677,0.307053,param_sources.csv; uploaded_mechanical_test_values
after,SH_ST,phi_deg,deg,15.1,35.6,53.15,param_sources.csv; uploaded_mechanical_test_values
after,SS_NC,density_kg_m3,kg/m3,2420.0,2485.0,2550.0,param_sources.csv; uploaded_mechanical_test_values
after,SS_NC,E_GPa,GPa,2.0999286,3.2115487500000004,4.323168900000001,param_sources.csv; uploaded_mechanical_test_values
after,SS_NC,nu,-,0.15,0.18,0.21,param_sources.csv; uploaded_mechanical_test_values
after,SS_NC,c_MPa,MPa,0.071613,0.213858,0.377685,param_sources.csv; uploaded_mechanical_test_values
after,SS_NC,phi_deg,deg,17.7,30.9,49.21,param_sources.csv; uploaded_mechanical_test_values
after,Fault,density_kg_m3,kg/m3,2490.0,2490.0,2490.0,param_sources.csv; uploaded_mechanical_test_values
after,Fault,E_GPa,GPa,0.005,0.0175,0.03,fallback_previous_stats_no_uploaded_value
after,Fault,nu,-,0.3,0.35,0.4,fallback_previous_stats_no_uploaded_value
after,Fault,c_MPa,MPa,0.022269,0.0268305,0.031392,param_sources.csv; uploaded_mechanical_test_values
after,Fault,phi_deg,deg,15.8,17.05,18.3,param_sources.csv; uploaded_mechanical_test_values
