case_name,parameter_level,shotcrete_thickness_m,max_crown_settlement_mm,max_sidewall_convergence_mm,max_plastic_thickness_m,max_support_pressure_kPa,danger_mileage,danger_formation,plastic_ratio_to_radius,note
min_SHOT_T0.00m,min,0.0,3651.816541769868,7303.633083539736,7.109999999999999,0.0,1429.0,Fault,2.3699999999999997,未支撐；噴凝土支撐壓力未設上限
Q25_SHOT_T0.00m,Q25,0.0,1654.2416813145553,3308.4833626291106,5.43,0.0,1429.0,Fault,1.8099999999999998,未支撐；噴凝土支撐壓力未設上限
average_SHOT_T0.00m,average,0.0,1083.506006898752,2167.012013797504,4.38,0.0,1429.0,Fault,1.46,未支撐；噴凝土支撐壓力未設上限
Q75_SHOT_T0.00m,Q75,0.0,813.1575295438977,1626.3150590877954,3.63,0.0,1429.0,Fault,1.21,Q75由min/max線性估算；未支撐；噴凝土支撐壓力未設上限
max_SHOT_T0.00m,max,0.0,655.4542510868993,1310.9085021737985,3.09,0.0,1429.0,Fault,1.03,未支撐；噴凝土支撐壓力未設上限
min_SHOT_T0.10m,min,0.1,1107.839271402164,2215.678542804328,2.55,5062.017787134794,1429.0,Fault,0.85,噴凝土支撐壓力未設上限
min_SHOT_T0.20m,min,0.2,1101.8616239924522,2203.7232479849044,2.55,5090.907646222317,1429.0,Fault,0.85,噴凝土支撐壓力未設上限
min_SHOT_T0.30m,min,0.3,1099.8648433578257,2199.7296867156515,2.55,5100.601221008055,1429.0,Fault,0.85,噴凝土支撐壓力未設上限
Q25_SHOT_T0.10m,Q25,0.1,508.49582437103015,1016.9916487420603,1.6500000000000004,4941.536707272458,1429.0,Fault,0.5500000000000002,噴凝土支撐壓力未設上限
Q25_SHOT_T0.20m,Q25,0.2,502.57037362438695,1005.1407472487739,1.62,5027.715475207706,1429.0,Fault,0.54,噴凝土支撐壓力未設上限
Q25_SHOT_T0.30m,Q25,0.3,500.58358780167856,1001.1671756033571,1.62,5057.083804686234,1429.0,Fault,0.54,噴凝土支撐壓力未設上限
average_SHOT_T0.10m,average,0.1,337.2075329013745,674.415065802749,1.1099999999999994,4831.686939527303,1429.0,Fault,0.36999999999999983,噴凝土支撐壓力未設上限
average_SHOT_T0.20m,average,0.2,331.3316804543683,662.6633609087366,1.08,4968.800622069042,1429.0,Fault,0.36000000000000004,噴凝土支撐壓力未設上限
average_SHOT_T0.30m,average,0.3,329.35444768719196,658.7088953743839,1.0499999999999998,5016.202759896999,1429.0,Fault,0.3499999999999999,噴凝土支撐壓力未設上限
Q75_SHOT_T0.10m,Q75,0.1,256.0385617834671,512.0771235669342,0.7199999999999998,4731.120776466718,1429.0,Fault,0.2399999999999999,Q75由min/max線性估算；噴凝土支撐壓力未設上限
Q75_SHOT_T0.20m,Q75,0.2,250.20989759690738,500.41979519381476,0.69,4913.743022154785,1429.0,Fault,0.22999999999999998,Q75由min/max線性估算；噴凝土支撐壓力未設上限
Q75_SHOT_T0.30m,Q75,0.3,248.24180471053472,496.48360942106945,0.6600000000000001,4977.7255553080795,1429.0,Fault,0.22000000000000006,Q75由min/max線性估算；噴凝土支撐壓力未設上限
max_SHOT_T0.10m,max,0.1,208.66609485380482,417.33218970760964,0.41999999999999993,4638.709069684314,1429.0,Fault,0.13999999999999999,噴凝土支撐壓力未設上限
max_SHOT_T0.20m,max,0.2,202.88237951689183,405.76475903378366,0.3900000000000001,4862.175871926625,1429.0,Fault,0.13000000000000003,噴凝土支撐壓力未設上限
max_SHOT_T0.30m,max,0.3,200.92303950993931,401.84607901987863,0.3599999999999999,4941.446224643434,1429.0,Fault,0.11999999999999995,噴凝土支撐壓力未設上限
