zid x y z sxx syy szz sxy sxz syz
6280 2559 4775 200.743 -5.63927e+06 -4.76877e+06 -3.78162e+06 -99796.7 24981.5 43982.4
6281 2561 4775 200.743 -5.63722e+06 -4.75682e+06 -3.7718e+06 -108664 25668 43799.2
6282 2563 4775 200.743 -5.63644e+06 -4.74581e+06 -3.76266e+06 -117753 26222.4 43609.5
6283 2565 4775 200.743 -5.63708e+06 -4.73573e+06 -3.75399e+06 -126268 26581.3 43469.9
6284 2567 4775 200.743 -5.63092e+06 -4.71465e+06 -3.73593e+06 -133835 26807 43440
6285 2569 4775 200.743 -5.62576e+06 -4.69139e+06 -3.71605e+06 -141724 27100.5 43506
6286 2571 4775 200.743 -5.62201e+06 -4.66895e+06 -3.69695e+06 -150981 27402.6 43601.3
6287 2573 4775 200.743 -5.61918e+06 -4.64712e+06 -3.67839e+06 -161366 27727.2 43678.4
6288 2575 4775 200.743 -5.61523e+06 -4.62264e+06 -3.6574e+06 -172394 28205.4 43706.3
6289 2577 4775 200.743 -5.61104e+06 -4.59842e+06 -3.63584e+06 -183680 28681.2 43689.7
6290 2579 4775 200.743 -5.60204e+06 -4.57063e+06 -3.61044e+06 -195103 29067.5 43686.6
6291 2581 4775 200.743 -5.59374e+06 -4.54323e+06 -3.58517e+06 -206811 29546.5 43675.3
6292 2583 4775 200.743 -5.58874e+06 -4.51697e+06 -3.56135e+06 -218174 30014.3 43579.6
6293 2585 4775 200.743 -5.5832e+06 -4.49519e+06 -3.54137e+06 -229382 30566.7 43386.4
6294 2587 4775 200.743 -5.58253e+06 -4.48529e+06 -3.53086e+06 -240871 31507.1 43079.1
6295 2589 4775 200.743 -5.57988e+06 -4.47798e+06 -3.52149e+06 -251935 32618.5 42626.4
6296 2591 4775 200.743 -5.57493e+06 -4.47026e+06 -3.51105e+06 -262310 33082.4 42114.4
6297 2593 4775 200.743 -5.57329e+06 -4.4715e+06 -3.50779e+06 -272256 33028.3 41581.3
6298 2595 4775 200.743 -5.57278e+06 -4.47207e+06 -3.50459e+06 -282106 32670.4 40849.4
6299 2597 4775 200.743 -5.57307e+06 -4.47242e+06 -3.50136e+06 -291005 32386.9 39765.5
6300 2599 4775 200.743 -5.57053e+06 -4.47216e+06 -3.49663e+06 -299163 32228.4 38284.7
