step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_avg,converged,L_plastic_thick_max_m,L_plastic_nzone,L_contour_ngp,R_plastic_thick_max_m,R_plastic_nzone,R_contour_ngp,rock_crown_2608_z,rock_wallL_2608_y,rock_wallR_2608_y,rock_crown_2896_z,rock_wallL_2896_y,rock_wallR_2896_y
1,conv_1e-4,2000,2501.0,2509.0,2991.0,2999.0,0.0001,6.914021070760243e-06,1,2.388121646817822,328,276,5.9657587763651385,1078,276,-3.325227200780575e-05,-6.385056117253205e-05,-6.479525926843644e-05,-0.0005917985132081251,2.3932718724962646e-05,3.072691943365011e-05
2,conv_1e-4,2000,2511.0,2519.0,2981.0,2989.0,0.0001,6.735834626091839e-06,1,2.388121646817822,327,276,6.423156890847703,1162,276,-3.164437368788237e-05,-8.445601946320947e-05,-8.800463705687459e-05,-0.0008520101419101948,3.820297107327097e-05,4.518981240219394e-05
3,conv_1e-4,2000,2521.0,2529.0,2971.0,2979.0,0.0001,7.812689367718982e-06,1,2.388121646817822,327,276,6.423156890847703,1187,276,-3.0523719160316265e-05,-9.724670873589668e-05,-0.00010306846783365624,-0.001163697082909365,4.8117628028702645e-05,5.720163901781118e-05
4,conv_1e-4,2000,2531.0,2539.0,2961.0,2969.0,0.0001,8.268698349899734e-06,1,2.388121646817822,327,276,6.423156890847703,1192,276,-3.33015233568311e-05,-0.00010513185929404379,-0.00011523068950828443,-0.0015021282331642851,5.681567082957131e-05,6.62615884704424e-05
5,conv_1e-4,2000,2541.0,2549.0,2951.0,2959.0,0.0001,8.403568477754996e-06,1,2.388121646817822,327,276,6.423156890847703,1194,276,-3.9408618881865175e-05,-0.00010918475198292462,-0.00012776498485080764,-0.00186196284427819,6.623423615266455e-05,7.272864608607261e-05
6,conv_1e-4,2000,2551.0,2559.0,2941.0,2949.0,0.0001,8.445669387108287e-06,1,2.388121646817822,328,276,6.423156890847703,1196,276,-4.6583971220363665e-05,-0.00010944874490827165,-0.00014449937818359842,-0.002211266990301652,7.361896204708507e-05,7.0788476901924e-05
7,conv_1e-4,2000,2561.0,2569.0,2931.0,2939.0,0.0001,8.383531984141273e-06,1,2.388121646817822,329,276,6.423156890847703,1198,276,-5.460917569714166e-05,-0.0001039510010461511,-0.00017366740211123682,-0.00252629706451974,6.810465068498377e-05,3.9833115446033534e-05
8,conv_1e-5,2000,2571.0,2579.0,2929.0,2929.0,1e-05,4.8183602203219195e-06,1,2.388121646817822,331,276,3.966220212970764,160,92,-7.696328675070378e-05,-8.18467401334563e-05,-0.00023423800807524986,-0.0027978736898991133,1.3596421430580645e-05,-2.011090448895408e-05
9,conv_1e-5,2000,2581.0,2581.0,2927.0,2927.0,1e-05,3.2560394169034768e-06,1,0.8302024518821274,36,92,3.966220212970764,159,92,-0.00011906704633781752,-6.456823688632419e-05,-0.0002513339824279198,-0.0029631460275523908,-3.1278317354221726e-05,-7.218136244203668e-05
10,conv_1e-5,2000,2583.0,2583.0,2925.0,2925.0,1e-05,2.632936786182687e-06,1,0.8302024518821274,36,92,3.966220212970764,159,92,-0.00014737840879138904,-4.089725939727279e-05,-0.0002654334962706033,-0.0030746057232778944,-6.778987156583358e-05,-0.00012074739023170817
