step,phase,Lxa,Lxb,Rxa,Rxb,fine,cycle,ratio_avg,L_thick,L_nplas,R_thick,R_nplas,crown2608_z,conv2608,crown2896_z,conv2896,n_lined
1,conv,2501,2511,2989,2999,0,2000,6.89809e-06,2.38812,327,5.96576,1127,-3.30079e-05,-1.38234e-06,-0.000597142,7.22801e-06,0
2,conv,2511,2521,2979,2989,0,2000,5.31779e-06,2.38812,317,5.5473,1083,-3.11154e-05,-4.36185e-06,-0.000831554,5.6965e-06,2
3,conv,2521,2531,2969,2979,0,2000,5.4345e-06,2.38812,318,5.5473,1084,-2.93464e-05,-7.13093e-06,-0.00106399,6.7793e-06,4
4,conv,2531,2541,2959,2969,0,2000,5.63025e-06,2.38812,316,5.5473,1083,-3.05644e-05,-1.20452e-05,-0.00129713,4.96695e-06,6
5,conv,2541,2551,2949,2959,0,2000,5.70942e-06,2.38812,316,5.5473,1089,-3.47009e-05,-2.12157e-05,-0.00153439,4.29133e-07,8
6,conv,2551,2561,2939,2949,0,2000,5.67529e-06,2.38812,315,5.5473,1091,-3.93464e-05,-3.83878e-05,-0.0017626,-1.01276e-05,10
7,conv,2561,2571,2929,2939,0,2000,5.6254e-06,2.38812,317,5.5473,1093,-4.46828e-05,-7.39547e-05,-0.00194795,-3.61602e-05,12
8,conv,2571,2581,2927,2929,1,2000,3.41459e-06,2.38812,318,2.51247,139,-6.29096e-05,-0.000157873,-0.00212863,-3.53691e-05,14
9,conv,2581,2583,2925,2927,1,2000,2.332e-06,0.830202,28,2.38812,116,-0.00010188,-0.000190316,-0.0022202,-3.6763e-05,16
10,conv,2583,2585,2923,2925,1,2000,1.86231e-06,0.830202,29,2.38812,104,-0.000127613,-0.000228075,-0.00227775,-4.24734e-05,18
11,conv,2585,2587,2921,2923,1,2000,1.57059e-06,0.830202,28,2.38812,101,-0.000151389,-0.000274397,-0.00231604,-5.24489e-05,20
12,conv,2587,2589,2919,2921,1,2000,1.37948e-06,0.830202,28,2.38812,96,-0.000179338,-0.000333684,-0.00234149,-6.64917e-05,22
13,conv,2589,2591,2917,2919,1,2000,1.25445e-06,0.830202,28,2.38812,96,-0.000216867,-0.000410759,-0.0023556,-8.63568e-05,24
14,conv,2591,2593,2915,2917,1,2000,1.17577e-06,0.830202,28,2.38812,96,-0.000269418,-0.000513837,-0.00235881,-0.000116086,26
15,conv,2593,2595,2913,2915,1,2000,1.13343e-06,0.830202,28,2.38812,96,-0.00034572,-0.000655727,-0.00235109,-0.000160347,28
16,conv,2595,2597,2911,2913,1,2000,1.0964e-06,0.830202,28,2.38812,96,-0.000457255,-0.000859007,-0.00233555,-0.00022762,30
17,conv,2597,2599,2909,2911,1,2000,1.08011e-06,0.830202,28,2.38812,96,-0.00064205,-0.00118434,-0.00231761,-0.00033121,32
18,conv,2599,2601,2907,2909,1,2000,1.48092e-06,1.11181,105,2.38812,95,-0.00516495,-0.0147511,-0.00230358,-0.000500439,34
19,conv,2601,2603,2905,2907,1,2000,1.09832e-06,1.11181,102,2.38812,96,-0.00523121,-0.0148164,-0.00230845,-0.00078265,36
20,conv,2603,2605,2903,2905,1,2000,1.0407e-06,1.11181,104,2.38812,96,-0.0100455,-0.024909,-0.00239729,-0.00131918,38
21,conv,2605,2607,2901,2903,1,2000,9.93615e-07,1.31762,105,2.38812,96,-0.0144329,-0.0326298,-0.00266733,-0.00240125,40
22,cycle,2607,2609,2899,2901,1,50,6.40613e-06,0,0,0,0,-0.0144833,-0.0330481,-0.00282229,-0.00267228,42
22,cycle,2607,2609,2899,2901,1,100,7.24797e-06,0,0,0,0,-0.014605,-0.0337455,-0.00293729,-0.00293267,42
22,cycle,2607,2609,2899,2901,1,200,7.29521e-06,0,0,0,0,-0.0149934,-0.0347708,-0.00329396,-0.00382228,42
22,cycle,2607,2609,2899,2901,1,300,6.39556e-06,0,0,0,0,-0.0153153,-0.0353225,-0.00347006,-0.00456014,42
22,cycle,2607,2609,2899,2901,1,400,5.17854e-06,0,0,0,0,-0.0156627,-0.0362362,-0.00348137,-0.00483612,42
22,cycle,2607,2609,2899,2901,1,500,4.31609e-06,0,0,0,0,-0.0161878,-0.0373949,-0.00351826,-0.00496675,42
22,cycle,2607,2609,2899,2901,1,1000,2.13311e-06,0,0,0,0,-0.0179684,-0.0402359,-0.00361303,-0.00513646,42
22,conv,2607,2609,2899,2901,1,3000,6.08827e-07,1.31762,106,2.38812,96,-0.0180284,-0.0402916,-0.00372916,-0.00519597,42
23,conv,2609,2611,2897,2899,1,2000,8.92631e-07,1.31762,107,2.38812,96,-0.0201214,-0.0444326,-0.00689637,-0.0144046,44
24,cycle,2611,2613,2895,2897,1,50,6.3174e-06,0,0,0,0,-0.0201241,-0.0444353,-0.00980316,-0.0200758,46
24,cycle,2611,2613,2895,2897,1,100,7.16756e-06,0,0,0,0,-0.0201435,-0.044455,-0.0108557,-0.0237657,46
24,cycle,2611,2613,2895,2897,1,200,7.24986e-06,0,0,0,0,-0.0202539,-0.0447337,-0.012471,-0.0279531,46
24,cycle,2611,2613,2895,2897,1,300,6.3769e-06,0,0,0,0,-0.0203707,-0.0449578,-0.0135165,-0.0320031,46
24,cycle,2611,2613,2895,2897,1,400,5.15529e-06,0,0,0,0,-0.0204272,-0.0450658,-0.0141561,-0.0326196,46
24,cycle,2611,2613,2895,2897,1,500,4.22128e-06,0,0,0,0,-0.0204884,-0.045267,-0.0143408,-0.0328508,46
24,cycle,2611,2613,2895,2897,1,1000,2.12433e-06,0,0,0,0,-0.0210738,-0.0460177,-0.0150509,-0.0331626,46
24,conv,2611,2613,2895,2897,1,3000,5.51513e-07,1.60295,110,2.38812,96,-0.0211335,-0.0460988,-0.0155002,-0.0332898,46
25,conv,2613,2615,2893,2895,1,2000,8.73386e-07,3.2596,113,2.38812,96,-0.0216596,-0.0471508,-0.0296556,-0.0870093,48
26,conv,2615,2617,2891,2893,1,2000,9.34921e-07,3.2596,120,2.38812,96,-0.0220048,-0.0479522,-0.0352802,-0.107525,50
27,conv,2617,2619,2889,2891,1,2000,9.79258e-07,3.33542,130,2.38812,96,-0.0221985,-0.0485986,-0.0382934,-0.122435,52
28,conv,2619,2621,2887,2889,1,2000,1.03342e-06,3.69121,153,2.38812,96,-0.022329,-0.0491239,-0.0403116,-0.131661,54
29,conv,2621,2623,2885,2887,1,2000,1.06594e-06,4.03887,175,2.38812,96,-0.0224112,-0.0495109,-0.0418033,-0.138582,56
30,conv,2623,2625,2883,2885,1,2000,1.08657e-06,5.42243,197,2.38812,96,-0.0224605,-0.0497986,-0.0429349,-0.14343,58
31,conv,2625,2627,2881,2883,1,2000,1.11336e-06,5.69234,225,2.38812,96,-0.0224981,-0.0500138,-0.0437857,-0.146974,60
32,conv,2627,2629,2879,2881,1,2000,1.1133e-06,5.96576,243,2.38812,96,-0.0225282,-0.0501602,-0.0444344,-0.149559,62
33,conv,2629,2631,2877,2879,1,2000,1.13363e-06,6.42316,260,2.38812,96,-0.0225516,-0.0502773,-0.0449221,-0.151433,64
34,conv,2631,2633,2875,2877,1,2000,1.1596e-06,6.87437,282,2.38812,96,-0.0225721,-0.0503702,-0.0452878,-0.152832,66
35,conv,2633,2635,2873,2875,1,2000,1.16741e-06,7.78264,305,2.38812,96,-0.0225894,-0.0504399,-0.0455764,-0.153912,68
36,conv,2635,2637,2871,2873,1,2000,1.17842e-06,7.98479,331,2.38812,96,-0.0226048,-0.0504973,-0.0457925,-0.154689,70
37,conv,2637,2639,2869,2871,1,2000,1.19421e-06,8.35206,349,2.38812,96,-0.0226197,-0.0505416,-0.0459587,-0.155313,72
38,conv,2639,2641,2867,2869,1,2000,1.22217e-06,8.35206,364,2.38812,96,-0.0226352,-0.050579,-0.0460914,-0.155773,74
39,conv,2641,2643,2865,2867,1,2000,1.25212e-06,8.80853,383,2.38812,95,-0.0226499,-0.0506105,-0.0461939,-0.156125,76
40,conv,2643,2645,2863,2865,1,2000,1.28987e-06,8.80853,398,2.38812,95,-0.0226649,-0.050638,-0.0462831,-0.156435,78
41,conv,2645,2655,2861,2863,1,5500,9.7627e-06,14.506,2286,2.38812,95,-0.0215467,-0.0524751,-0.0465577,-0.156784,80
42,conv,2655,2665,2859,2861,1,4000,9.83732e-06,14.506,2480,2.38812,95,-0.0218791,-0.0526561,-0.0467238,-0.156907,82
43,conv,2665,2675,2849,2859,0,2000,1.83747e-05,14.506,2658,5.5473,1281,-0.0221934,-0.0527143,-0.0468913,-0.157195,84
44,conv,2675,2685,2839,2849,0,2000,2.14506e-05,14.506,2830,7.28118,1467,-0.0226391,-0.0527521,-0.0472453,-0.157527,86
45,conv,2685,2695,2829,2839,0,2000,2.50566e-05,14.8268,2983,9.38536,1747,-0.0231544,-0.0527831,-0.047708,-0.157739,88
46,conv,2695,2705,2819,2829,0,2000,2.98378e-05,14.8268,3068,13.8383,2124,-0.0237268,-0.0528081,-0.0482731,-0.157854,90
47,conv,2705,2715,2809,2819,0,2000,3.4657e-05,14.8268,3102,14.8268,2494,-0.024323,-0.052829,-0.0490455,-0.157987,92
48,conv,2715,2725,2799,2809,0,2000,3.95338e-05,14.8268,3169,14.8268,2735,-0.024952,-0.0528479,-0.050054,-0.158106,94
