step,phase,cycle,excav_xmin,excav_xmax,ratio_target,ratio_avg,converged,plastic_thick_max_m,plastic_nzone,contour_ngp,crown_gp_id,crown_x,crown_y,crown_z,crown_ux,crown_uy,crown_uz,wallL_gp_id,wallL_x,wallL_y,wallL_z,wallL_ux,wallL_uy,wallL_uz,wallR_gp_id,wallR_x,wallR_y,wallR_z,wallR_ux,wallR_uy,wallR_uz,n_lined
1,conv_1e-5,2000,2846,2853,0.0001,2.37128e-05,1,4.25735,2202,368,128220,2896,4800,220,-0.000337746,6.17605e-05,-0.00143091,69034,2896,4797,217,-0.000336927,9.31091e-05,-0.00146191,121554,2896,4803,217,-0.000345633,3.29001e-05,-0.00159431,0
2,conv_1e-5,2000,2853,2860,0.0001,1.96113e-05,1,5.5509,3584,414,128220,2896,4800,220,-0.00116285,6.04079e-05,-0.00149765,69034,2896,4797,217,-0.00118414,0.000107285,-0.00151224,121554,2896,4803,217,-0.00119052,1.34512e-05,-0.00164489,0
3,conv_1e-5,2000,2860,2862,1e-05,8.45413e-06,1,5.00625,1336,184,128220,2896,4800,220,-0.00149807,4.09078e-05,-0.00150183,69034,2896,4797,217,-0.00152517,9.25338e-05,-0.00150859,121554,2896,4803,217,-0.00152665,-1.09459e-05,-0.00164113,0
4,conv_1e-5,2000,2862,2864,1e-05,7.88433e-06,1,5.00625,1349,184,128220,2896,4800,220,-0.00172011,2.04578e-05,-0.00148406,69034,2896,4797,217,-0.00175977,7.25335e-05,-0.00148771,121554,2896,4803,217,-0.00175355,-3.12215e-05,-0.00161967,0
5,conv_1e-5,2000,2864,2866,1e-05,8.84754e-06,1,5.00625,1357,184,128220,2896,4800,220,-0.00193382,-2.5538e-06,-0.00145736,69034,2896,4797,217,-0.00198682,4.8098e-05,-0.00145938,121554,2896,4803,217,-0.00196723,-5.13342e-05,-0.0015916,0
6,conv_1e-5,2000,2866,2868,1e-05,9.3846e-06,1,5.00625,1358,184,128220,2896,4800,220,-0.00215104,-2.94652e-05,-0.00142048,69034,2896,4797,217,-0.00221825,1.88357e-05,-0.00142185,121554,2896,4803,217,-0.00218162,-7.3185e-05,-0.00155431,0
7,conv_1e-5,2000,2868,2870,1e-05,9.97733e-06,1,5.00625,1363,184,128220,2896,4800,220,-0.00237244,-6.055e-05,-0.00137098,69034,2896,4797,217,-0.00245657,-1.60661e-05,-0.00137253,121554,2896,4803,217,-0.002395,-9.69999e-05,-0.00150475,0
8,conv_1e-5,2500,2870,2872,1e-05,5.94413e-06,1,5.00625,1362,184,128220,2896,4800,220,-0.00263125,-0.000101963,-0.00129589,69034,2896,4797,217,-0.00273589,-6.22579e-05,-0.00129682,121554,2896,4803,217,-0.00263871,-0.000130573,-0.00142711,0
9,conv_1e-5,2000,2872,2874,1e-05,9.97538e-06,1,5.00625,1361,184,128220,2896,4800,220,-0.00283361,-0.000138392,-0.00122477,69034,2896,4797,217,-0.00295914,-0.000104522,-0.00122563,121554,2896,4803,217,-0.00281374,-0.000156936,-0.00135327,0
10,conv_1e-5,2500,2874,2876,1e-05,5.99478e-06,1,5.00625,1363,184,128220,2896,4800,220,-0.00309281,-0.000187972,-0.00111428,69034,2896,4797,217,-0.00324399,-0.00015787,-0.0011122,121554,2896,4803,217,-0.00302994,-0.000198623,-0.00123223,0
