station,step_pair,H1_mm,D1_mm,D2_mm
2590,1,-1.2,-0.3,0.3
2590,2,-2.5,-0.7,0.6
2590,3,-4.1,-1.2,1.1
2590,4,-5.8,-1.8,1.6
2590,5,-7.6,-2.4,2.1
2590,6,-9.3,-3.0,2.6
2590,7,-11.2,-3.6,3.1
2590,8,-13.0,-4.2,3.6
2590,9,-14.7,-4.7,4.0
2590,10,-16.2,-5.2,4.4
2590,11,-17.6,-5.6,4.8
2590,12,-18.9,-6.0,5.1
2590,13,-20.1,-6.3,5.4
2590,14,-21.2,-6.6,5.6
2590,15,-22.1,-6.9,5.8
2590,16,-22.9,-7.1,6.0
2590,17,-23.6,-7.3,6.2
2590,18,-24.2,-7.4,6.3
2590,19,-24.7,-7.5,6.4
2590,20,-25.1,-7.6,6.5
2590,21,-25.4,-7.7,6.6
2608,1,-0.8,-0.2,0.2
2608,2,-1.7,-0.4,0.4
2608,3,-2.8,-0.7,0.6
2608,4,-4.0,-1.0,0.9
2608,5,-5.2,-1.3,1.2
2608,6,-6.5,-1.6,1.5
2608,7,-7.8,-2.0,1.8
2608,8,-9.1,-2.3,2.1
2608,9,-10.4,-2.6,2.4
2608,10,-11.6,-2.9,2.6
2608,11,-12.7,-3.2,2.9
2608,12,-13.7,-3.4,3.1
2608,13,-14.6,-3.6,3.3
2608,14,-15.4,-3.8,3.5
2608,15,-16.1,-4.0,3.6
2608,16,-16.7,-4.1,3.8
2608,17,-17.2,-4.2,3.9
2608,18,-17.6,-4.3,4.0
2608,19,-17.9,-4.4,4.0
2608,20,-18.2,-4.4,4.1
2608,21,-18.4,-4.5,4.1
2616,1,-0.6,-0.2,0.2
2616,2,-1.4,-0.4,0.3
2616,3,-2.3,-0.6,0.5
2616,4,-3.3,-0.8,0.7
2616,5,-4.4,-1.1,1.0
2616,6,-5.5,-1.4,1.2
2616,7,-6.6,-1.7,1.5
2616,8,-7.8,-2.0,1.7
2616,9,-8.9,-2.2,2.0
2616,10,-9.9,-2.5,2.2
2616,11,-10.9,-2.7,2.4
2616,12,-11.7,-2.9,2.6
2616,13,-12.5,-3.1,2.8
2616,14,-13.2,-3.3,2.9
2616,15,-13.8,-3.4,3.1
2616,16,-14.3,-3.5,3.2
2616,17,-14.7,-3.6,3.3
2616,18,-15.1,-3.7,3.4
2616,19,-15.4,-3.8,3.4
2616,20,-15.6,-3.8,3.5
2616,21,-15.8,-3.9,3.5
2878,1,-1.5,-0.4,0.4
2878,2,-3.2,-0.8,0.7
2878,3,-5.1,-1.3,1.2
2878,4,-7.2,-1.8,1.7
2878,5,-9.4,-2.4,2.2
2878,6,-11.6,-2.9,2.7
2878,7,-13.8,-3.5,3.2
2878,8,-16.0,-4.0,3.7
2878,9,-18.1,-4.5,4.2
2878,10,-20.0,-5.0,4.6
2878,11,-21.8,-5.4,5.0
2878,12,-23.4,-5.8,5.4
2878,13,-24.9,-6.2,5.7
2878,14,-26.2,-6.5,6.0
2878,15,-27.3,-6.8,6.3
2878,16,-28.3,-7.0,6.5
2878,17,-29.1,-7.2,6.7
2878,18,-29.8,-7.4,6.9
2878,19,-30.4,-7.5,7.0
2878,20,-30.8,-7.6,7.1
2878,21,-31.2,-7.7,7.2
2896,1,-1.8,-0.5,0.4
2896,2,-3.8,-1.0,0.9
2896,3,-6.0,-1.5,1.4
2896,4,-8.4,-2.1,1.9
2896,5,-10.9,-2.7,2.5
2896,6,-13.4,-3.3,3.1
2896,7,-15.9,-4.0,3.7
2896,8,-18.4,-4.6,4.3
2896,9,-20.8,-5.2,4.8
2896,10,-23.0,-5.7,5.3
2896,11,-25.0,-6.2,5.8
2896,12,-26.8,-6.7,6.2
2896,13,-28.4,-7.1,6.6
2896,14,-29.8,-7.4,6.9
2896,15,-31.0,-7.7,7.2
2896,16,-32.1,-8.0,7.4
2896,17,-33.0,-8.2,7.6
2896,18,-33.7,-8.4,7.8
2896,19,-34.3,-8.5,7.9
