Hole_ID,Distance_m,Surface_Z_m,Depth_top_m,Depth_bottom_m,Raw_unit,Model_unit
BH-1,3.0,212.482,0.0,25.2,Colluvium_1,Colluvium_1
BH-1,3.0,212.482,25.2,60.0,SH with thin SS_(ST),SH_ST
BH-2,17.0,222.01,0.0,8.2,Colluvium_1,Colluvium_1
BH-2,17.0,222.01,8.2,20.0,SH with thin SS_(ST),SH_ST
BH-3,120.0,260.456,0.0,4.4,Colluvium_1,Colluvium_1
BH-3,120.0,260.456,4.4,40.3,SS/SH Interbedded_(ST),Interbedded_ST
BH-3,120.0,260.456,40.3,60.0,SH with thin SS_(ST),SH_ST
BH-4,1996.0,309.47,0.0,2.0,Colluvium_1,Colluvium_1
BH-4,1996.0,309.47,2.0,40.2,Fault_up,Fault_up
BH-4,1996.0,309.47,40.2,42.6,Fault_core,Fault_core
BH-4,1996.0,309.47,42.6,76.0,Fault_down,Fault_down
BH-4,1996.0,309.47,76.0,100.0,SS with thin SH_(NC),SS_NC_damage
BH-5,2525.0,324.457,0.0,3.5,Colluvium_1,Colluvium_1
BH-5,2525.0,324.457,3.5,85.7,SS with thin SH_(NC),SS_NC
BH-5,2525.0,324.457,85.7,104.0,SH with  SS,SS_NC
BH-5,2525.0,324.457,104.0,120.0,SS with thin SH_(NC).1,SS_NC
BH-7,3352.0,227.096,0.0,2.5,Colluvium_1,Colluvium_1
BH-7,3352.0,227.096,2.5,45.0,SS with thin SH_(NC),SS_NC
DH-1,,216.73,0.0,1.5,Colluvium_1,Colluvium_1
DH-1,,216.73,1.5,20.0,SH with thin SS_(ST),SH_ST
DH-8,,310.07,0.0,2.2,Colluvium_1,Colluvium_1
DH-8,,310.07,2.2,43.4,Fault_up,Fault_up
DH-8,,310.07,43.4,51.8,Fault_core,Fault_core
DH-8,,310.07,51.8,72.0,Fault_down,Fault_down
DH-8,,310.07,72.0,120.0,SS with thin SH_(NC),SS_NC_damage
