model_unit,parameter,count,min,median,mean,max
Fault_down,Cr(MPa),1,0.0222687,0.0222687,0.0222687,0.0222687
Fault_down,φr(°),1,15.8,15.8,15.8,15.8
Fault_down,單位重(g/cm³),1,2.49,2.49,2.49,2.49
Fault_down,單壓強度qu(MPa),1,56.0151,56.0151,56.0151,56.0151
Fault_up,Cr(MPa),1,0.031392,0.031392,0.031392,0.031392
Fault_up,φr(°),1,18.3,18.3,18.3,18.3
Fault_up,單壓強度qu(MPa),1,0.439488,0.439488,0.439488,0.439488
Fault_up,平均RQD(%),1,0.0,0.0,0.0,0.0
Interbedded_ST,Cr(MPa),1,0.144207,0.144207,0.144207,0.144207
Interbedded_ST,φr(°),1,22.3,22.3,22.3,22.3
Interbedded_ST,單位重(g/cm³),1,2.52,2.52,2.52,2.52
Interbedded_ST,單壓強度qu(MPa),2,0.111834,0.1535265,0.1535265,0.195219
SH_ST,Cp(MPa),1,0.307053,0.307053,0.307053,0.307053
SH_ST,Cr(MPa),2,0.0110853,0.10903815,0.10903815,0.206991
SH_ST,E靜(MPa),3,461.3643,1619.4348,1681.8264,2964.6801
SH_ST,ν靜(-),3,0.38,0.38,0.3866666666666667,0.4
SH_ST,φp(°),1,53.15,53.15,53.15,53.15
SH_ST,φr(°),2,15.1,30.405,30.405,45.71
SH_ST,單位重(g/cm³),4,2.39,2.525,2.5075,2.59
SH_ST,單壓強度qu(MPa),3,0.067689,0.135378,0.17004,0.307053
SH_ST,平均RQD(%),2,0.0,21.5,21.5,43.0
SS_NC,Cp(MPa),1,0.377685,0.377685,0.377685,0.377685
SS_NC,Cr(MPa),6,0.063765,0.18491849999999999,0.162192,0.254079
SS_NC,E靜(MPa),3,504.0378000000001,2099.9286,2309.0451000000003,4323.168900000001
SS_NC,ν靜(-),3,0.15,0.21,0.21666666666666665,0.29
SS_NC,φp(°),1,49.21,49.21,49.21,49.21
SS_NC,φr(°),6,17.7,30.735,29.078333333333333,37.2
SS_NC,單位重(g/cm³),6,2.42,2.565,2.55,2.61
SS_NC,單壓強度qu(MPa),5,1.19682,18.9333,21.880224000000002,53.4645
SS_NC,平均RQD(%),4,4.0,43.4,37.45,59.0
SS_NC_damage,Cp(MPa),1,1.243908,1.243908,1.243908,1.243908
SS_NC_damage,Cr(MPa),2,0.0885843,0.26992214999999997,0.26992214999999997,0.45126
SS_NC_damage,E靜(MPa),1,3215.8161,3215.8161,3215.8161,3215.8161
SS_NC_damage,ν靜(-),1,0.23,0.23,0.23,0.23
SS_NC_damage,φp(°),1,77.81,77.81,77.81,77.81
SS_NC_damage,φr(°),2,24.3,35.895,35.895,47.49
SS_NC_damage,單位重(g/cm³),1,2.56,2.56,2.56,2.56
SS_NC_damage,單壓強度qu(MPa),1,1.61865,1.61865,1.61865,1.61865
